,F,P
PCA_feature_1,0.15213595826523954,0.6970024753746651
PCA_feature_2,7.4630553943860924,0.006979322920407652
PCA_feature_3,85.75991321718149,1.0169491668918266e-16
PCA_feature_4,6.877970783097453,0.009538579650639437
PCA_feature_5,0.1899855682058496,0.6634949125622771
PCA_feature_6,0.8475726372525509,0.3585759047864828
PCA_feature_7,3.875573425800797,0.050658606589168285
PCA_feature_8,0.04671297589554606,0.8291503339933118
PCA_feature_9,0.6476996068096078,0.42208749348824137
PCA_feature_10,0.2949197178334113,0.5878134253252814
PCA_feature_11,15.5307036623413,0.00011939441321127702
PCA_feature_12,1.4615139584813797,0.22840851152558705
PCA_feature_13,4.43352767829147,0.03674426368585098
PCA_feature_14,7.271202233433766,0.007729365802191253
PCA_feature_15,0.036580126317694917,0.8485561638596076
PCA_feature_16,0.6800420352623382,0.4107556322067797
PCA_feature_17,4.292325727680347,0.039831396737028284
PCA_feature_18,0.6830275576924062,0.4097324508337298
PCA_feature_19,0.3574092750383511,0.5507633094613945
PCA_feature_20,1.2821235903651789,0.259137495736151
PCA_feature_21,1.02484307110392,0.31284626222590844
PCA_feature_22,0.04885102926306428,0.8253463934751509
PCA_feature_23,0.9308149368612378,0.3360546529880445
PCA_feature_24,6.094299737125006,0.014574821997914307
PCA_feature_25,1.7619189940593738,0.18620798428376262
PCA_feature_26,0.6836497453666758,0.4095196923611053
PCA_feature_27,0.033604466566155046,0.854774412531595
PCA_feature_28,0.009696749212971176,0.9216762525425084
PCA_feature_29,3.77669636507147,0.0536625653755054
PCA_feature_30,0.4723327475066968,0.49287500732769174
PCA_feature_31,0.06741128864549427,0.7954656419257685
PCA_feature_32,0.5771751925188165,0.4484992563671021
PCA_feature_33,1.5307631361088163,0.2177452721038784
PCA_feature_34,0.5021908952188238,0.47953302562816447
PCA_feature_35,0.30588151961150084,0.5809625669387858
PCA_feature_36,0.2658595837482142,0.6068088454525482
PCA_feature_37,0.32800503756680216,0.5676110708353896
PCA_feature_38,1.6964613367324937,0.19455554099007782
PCA_feature_39,0.5459951178485057,0.4610022252225545
PCA_feature_40,0.09757796845976055,0.755147805015384
PCA_feature_41,0.8774809787240664,0.35025336110133387
PCA_feature_42,1.5161143648802833,0.21995003910753763
PCA_feature_43,0.010142105452237735,0.9199037743074961
PCA_feature_44,0.00600131393504224,0.9383444246834947
PCA_feature_45,1.706719330808478,0.19321875092510796
PCA_feature_46,0.0343676466723559,0.8531532894435587
PCA_feature_47,0.014676065653825744,0.9037228508986697
PCA_feature_48,0.7559953443772741,0.3858401408630453
PCA_feature_49,2.4535465381351513,0.11916396668686348
PCA_feature_50,0.082129291950795,0.7747897005246924
PCA_feature_51,0.5642893651002782,0.45360074291619423
PCA_feature_52,0.026786136233746007,0.8701941951856628
PCA_feature_53,4.779586483142716,0.030198918060712385
PCA_feature_54,0.23997144650263494,0.6248735102006414
PCA_feature_55,0.04506147684381383,0.8321514559668154
PCA_feature_56,0.4268172550845855,0.5144586882243631
PCA_feature_57,0.07302157009020345,0.7873227945029495
PCA_feature_58,0.03297795794892875,0.8561195022624302
PCA_feature_59,1.5407557163748196,0.21625652399040632
PCA_feature_60,3.176423149480977,0.07653601433188142
PCA_feature_61,0.01590590958337648,0.8997906404250229
PCA_feature_62,0.00010614680192151991,0.9917921060770042
PCA_feature_63,0.00022759996364949038,0.9879813544183722
PCA_feature_64,0.009014970008868401,0.9244712839605868
PCA_feature_65,0.08698224840902712,0.768417767732698
PCA_feature_66,0.10728637387904173,0.7436676804494029
PCA_feature_67,0.5610978610549977,0.45487835938195464
PCA_feature_68,0.005544339772111318,0.9407337634673956
PCA_feature_69,1.7913267060785854,0.18259487522855838
PCA_feature_70,1.0282085176025666,0.3120554843109751
PCA_feature_71,0.008893912277530128,0.9249785966228765
PCA_feature_72,0.026583830460451197,0.8706809414257484
PCA_feature_73,0.07304866234724644,0.787284301310094
PCA_feature_74,0.38037392950729765,0.5382481139003672
PCA_feature_75,1.0740595855921067,0.3015376083097592
PCA_feature_76,0.0023824907141540563,0.9611287814762173
PCA_feature_77,0.01966758915385479,0.8886394553139676
PCA_feature_78,0.027345274654028917,0.8688586474851402
PCA_feature_79,0.07274971500997095,0.7877094764577184
PCA_feature_80,0.10373260546163829,0.7478007634652726
PCA_feature_81,0.02702185140788548,0.8696294410874253
PCA_feature_82,0.024108308748771515,0.8767982823851431
PCA_feature_83,0.016906269298278518,0.8967047757017064
PCA_feature_84,0.15238058593482195,0.6967711491926611
PCA_feature_85,0.006760940015480848,0.9345669059210001
PCA_feature_86,0.003045410342774264,0.956057253146954
PCA_feature_87,0.13758981504038625,0.7111618564854454
PCA_feature_88,0.10473863885075624,0.746622891735165
PCA_feature_89,0.03844270420714674,0.8447966697168967
PCA_feature_90,0.6187248019932923,0.4326430409211587
PCA_feature_91,0.027420998815517936,0.8686788566732954
PCA_feature_92,0.4463419422676437,0.5050050874924465
PCA_feature_93,0.009377533625598641,0.9229721269538058
PCA_feature_94,1.0787454553668836,0.30048885674022924
PCA_feature_95,0.11056071287565827,0.7399261881660988
PCA_feature_96,0.003174964067414286,0.9551332853802803
