,Coef
PCA_feature_3,0.5164541305771884
PCA_feature_11,-0.8376193847329596
PCA_feature_127,5.529696738054409e-15
PCA_feature_129,5.503739209296622e-15
PCA_feature_134,-6.754291787806978e-15
PCA_feature_135,-3.2496978565151043e-16
PCA_feature_142,7.116190441869599e-15
PCA_feature_146,4.094058455521201e-15
PCA_feature_147,-4.059481020132575e-16
PCA_feature_153,-2.463618108622533e-15
PCA_feature_154,-6.548659225447115e-15
PCA_feature_160,-9.42393593143497e-15
PCA_feature_162,1.975253798877507e-14
PCA_feature_163,1.8961214120742564e-15
