,label,PCA_feature_3,PCA_feature_11,PCA_feature_14,PCA_feature_127,PCA_feature_128,PCA_feature_129,PCA_feature_134,PCA_feature_135,PCA_feature_142,PCA_feature_146,PCA_feature_147,PCA_feature_149,PCA_feature_151,PCA_feature_153,PCA_feature_162,PCA_feature_163,PCA_feature_168
1,0.0,-2.758241586647062,1.1438806873175698,0.5441880541866985,4.510281037539698e-16,4.119968255444917e-17,-5.065392549852277e-16,3.677613769070831e-16,-4.0245584642661925e-16,-8.847089727481716e-17,-1.3877787807814457e-17,1.4224732503009818e-16,-1.8041124150158794e-16,-1.222980050563649e-16,1.1102230246251565e-16,1.0755285551056204e-16,-2.0990154059319366e-16,4.163336342344337e-17
1,1.0,4.450455152928563,0.2188137352112027,-0.7878407205795489,3.157196726277789e-16,1.0148132334464322e-16,1.2385925618474403e-15,-1.2698175844150228e-15,1.2698175844150228e-15,6.938893903907228e-18,2.8449465006019636e-16,6.730727086790012e-16,-2.42861286636753e-16,1.8041124150158794e-16,-2.7755575615628914e-17,-1.9081958235744878e-17,2.0469737016526324e-16,-4.163336342344337e-17
2,0.0,-0.526318377756612,0.3039849961140699,1.243961157276999,3.972516759986888e-16,-2.862293735361732e-17,-1.5959455978986625e-16,4.839878497975292e-16,-2.8709673527416157e-16,-1.468009741545373e-16,2.740863092043355e-16,-1.0928757898653885e-16,-3.400058012914542e-16,-1.734723475976807e-16,5.204170427930421e-17,4.198030811863873e-16,5.724587470723463e-17,1.700029006457271e-16
2,1.0,6.736429557835909,1.9935922253939728,2.429584310302784,8.847089727481716e-16,1.5265566588595902e-16,1.1969591984239969e-15,-1.6566609195578508e-16,5.603156827405087e-16,-3.729655473350135e-17,5.516420653606247e-16,2.636779683484747e-16,-2.0816681711721685e-17,-1.734723475976807e-17,-9.71445146547012e-17,3.157196726277789e-16,8.500145032286355e-17,1.9081958235744878e-16
3,1.0,-0.8322535979329475,-0.31705016197551456,-0.35524776570179545,6.765421556309548e-17,1.1275702593849246e-17,-5.325601071248798e-16,2.8709673527416157e-16,-6.999609225566417e-16,7.632783294297951e-17,1.6653345369377348e-16,-2.0816681711721685e-17,-5.516420653606247e-16,3.226585665316861e-16,-3.8510861166685117e-16,1.0009354456386177e-15,-9.71445146547012e-17,1.3357370765021415e-16
5,1.0,-0.15412484136589127,-0.7034019124760265,0.03364385448537768,2.1510571102112408e-16,1.1275702593849246e-17,5.412337245047638e-16,-4.683753385137379e-17,8.951173136040325e-16,1.7694179454963432e-16,-6.158268339717665e-17,0.0,-2.706168622523819e-16,2.8449465006019636e-16,4.163336342344337e-17,2.975050761300224e-16,1.734723475976807e-18,1.1102230246251565e-16
5,0.0,1.4615717032689457,-0.922145726381419,0.16751576231304788,4.371503159461554e-16,-5.952269926945419e-17,1.231653667943533e-16,6.678685382510707e-16,6.938893903907228e-18,-3.660266534311063e-16,4.440892098500626e-16,-8.326672684688674e-17,-9.020562075079397e-17,1.249000902703301e-16,-1.1102230246251565e-16,2.3592239273284576e-16,2.1510571102112408e-16,4.2674197509029455e-16
6,1.0,-0.24022443868703702,-0.11271802619888541,-0.5075935899422278,7.181755190543981e-16,2.688821387764051e-17,-3.2526065174565133e-16,-2.3245294578089215e-16,-3.7383290907300193e-16,4.7271214720367993e-17,1.986258379993444e-16,-1.5959455978986625e-16,-2.2898349882893854e-16,-3.469446951953614e-17,-2.7755575615628914e-17,2.6194324487249787e-16,-2.0925101928970236e-16,-1.3877787807814457e-17
7,0.0,-1.7637474442882104,-0.0032408149354684126,0.6976673440172517,7.979727989493313e-17,-4.7704895589362195e-17,1.8041124150158794e-16,2.905661822261152e-16,-7.771561172376096e-16,-5.4643789493269423e-17,-2.0816681711721685e-17,-7.632783294297951e-17,-2.740863092043355e-16,8.153200337090993e-17,2.6020852139652106e-16,2.463307335887066e-16,-1.4051260155412137e-16,1.8388068845354155e-16
7,1.0,-0.7097463204521569,-1.0941183771634149,0.44145228809833076,2.8449465006019636e-16,4.119968255444917e-17,2.8275992658421956e-16,9.540979117872439e-17,7.127545081919706e-16,1.981921571303502e-16,-1.249000902703301e-16,2.42861286636753e-17,-2.636779683484747e-16,3.469446951953614e-18,8.326672684688674e-17,2.1510571102112408e-16,1.6479873021779667e-17,7.632783294297951e-17
