,Coef
PCA_feature_3,0.5969842186752254
PCA_feature_11,-0.7321094122297716
PCA_feature_14,-0.6842606726802272
PCA_feature_127,4.098551231734698e-15
PCA_feature_128,1.1572808284623916e-15
PCA_feature_129,9.457000047711903e-15
PCA_feature_134,-4.610628664586654e-15
PCA_feature_135,2.258344277728499e-15
PCA_feature_142,8.681975588319685e-15
PCA_feature_146,3.0211534113073338e-15
PCA_feature_147,-8.200752966180296e-16
PCA_feature_149,-8.732220370892918e-15
PCA_feature_151,3.6902937005685324e-15
PCA_feature_153,-5.720021307318266e-16
PCA_feature_154,-5.85859633312184e-15
PCA_feature_156,7.66383061697038e-15
PCA_feature_160,-8.155789187644923e-15
PCA_feature_162,1.827448478173195e-14
PCA_feature_163,2.290230195658615e-15
PCA_feature_168,2.8900123213221638e-15
