,label,PCA_feature_3,PCA_feature_134,PCA_feature_162
1,0.0,-2.758241586647062,3.677613769070831e-16,1.0755285551056204e-16
1,1.0,4.450455152928563,-1.2698175844150228e-15,-1.9081958235744878e-17
2,0.0,-0.526318377756612,4.839878497975292e-16,4.198030811863873e-16
2,1.0,6.736429557835909,-1.6566609195578508e-16,3.157196726277789e-16
3,1.0,-0.8322535979329475,2.8709673527416157e-16,1.0009354456386177e-15
5,1.0,-0.15412484136589127,-4.683753385137379e-17,2.975050761300224e-16
5,0.0,1.4615717032689457,6.678685382510707e-16,2.3592239273284576e-16
6,1.0,-0.24022443868703702,-2.3245294578089215e-16,2.6194324487249787e-16
7,0.0,-1.7637474442882104,2.905661822261152e-16,2.463307335887066e-16
7,1.0,-0.7097463204521569,9.540979117872439e-17,2.1510571102112408e-16
8,0.0,-2.1258358474319663,2.0296264668928643e-16,4.2327252813834093e-16
8,1.0,-1.2165130365745231,3.5561831257524545e-17,2.896988204881268e-16
9,0.0,-1.6316498253189669,4.2934406030425976e-16,-2.498001805406602e-16
10,1.0,1.9909145503468872,2.5500435096859064e-16,1.9081958235744878e-16
11,0.0,-0.4337000168558884,6.891189008317866e-16,-8.326672684688674e-17
11,1.0,-0.9861853047151922,1.1449174941446927e-16,2.5500435096859064e-16
12,1.0,0.8363915760942415,1.231653667943533e-15,-2.7755575615628914e-17
12,0.0,-1.6876126528640252,4.77048955893622e-16,-1.4051260155412137e-16
13,0.0,0.20311133387521232,-3.7816971776294395e-16,-6.487865800153259e-16
13,1.0,1.109104749703364,6.192962809237201e-16,5.204170427930421e-16
14,0.0,1.1954365890073362,9.731798700229888e-16,-5.754945131553058e-16
14,1.0,2.1354194637571147,3.5041414214731503e-16,-1.3530843112619095e-16
15,0.0,-3.9623273601215776,6.83481049534862e-16,-5.462210544981971e-16
15,1.0,2.9888596688300275,1.6566609195578508e-16,-2.7582103268031233e-16
17,1.0,1.4220990404645693,-2.8622937353617317e-16,6.938893903907228e-18
17,0.0,0.3296911440054615,2.671474153004283e-16,3.7383290907300193e-16
18,0.0,2.3498442732728577,2.0990154059319366e-16,-3.469446951953614e-16
19,1.0,1.8109926652677923,-5.516420653606247e-16,2.0816681711721685e-17
19,0.0,-4.141118292334217,3.6477982093274797e-16,-5.143455106271233e-16
21,0.0,-3.976443803452289,8.591218014775137e-16,9.71445146547012e-17
22,1.0,1.1176427403898566,-3.3480163086352377e-16,-1.2836953722228372e-16
22,0.0,0.561733193467024,7.042977312465837e-16,-6.92154666914746e-16
23,0.0,-0.26489577480088233,-3.122502256758253e-16,-6.765421556309548e-17
24,0.0,-4.261625887568386,1.5785983631388945e-16,-3.3480163086352377e-16
25,1.0,3.2859232520487516,8.012254054667878e-17,-3.7296554733501353e-16
26,0.0,-3.3730799866045302,-3.191891195797325e-16,-5.447031714567174e-16
27,1.0,0.06985673468634784,-2.5825695748604716e-16,7.164407955784213e-16
28,1.0,-0.5344520564374365,-1.97758476261356e-16,3.157196726277789e-16
28,0.0,-2.294917467513718,5.572799166575493e-17,5.074066167232161e-17
29,0.0,-3.170884761415053,8.118505867571457e-16,-4.423544863740858e-16
30,0.0,-4.845540138143935,6.548581121812447e-16,-5.967448757360216e-16
31,0.0,-2.301349879680759,2.706168622523819e-16,1.3791051634015616e-16
31,1.0,4.8811716283407405,-8.118505867571457e-16,-1.249000902703301e-16
32,1.0,0.5920672688582355,0.0,-1.3704315460216776e-16
32,0.0,2.0522043489551107,-4.909267437014364e-16,1.0928757898653885e-16
33,0.0,-3.9336006862494535,5.93275428784068e-16,-5.238864897449957e-16
34,1.0,-0.5244662103463618,-7.112366251504909e-17,3.316574445633158e-16
35,1.0,1.1771832690969786,-5.377642775528102e-16,1.3964523981613297e-16
35,0.0,-2.1240522044026093,2.0556473190325164e-16,-2.914335439641036e-16
36,1.0,0.2963586242234454,-3.677613769070831e-16,2.914335439641036e-16
36,0.0,-2.226744201560343,3.2612801348363973e-16,-3.7643499428696714e-16
37,0.0,-5.869274237288751,3.174543961037557e-16,-6.071532165918825e-16
37,1.0,3.134133843174123,-4.579669976578771e-16,2.185751579730777e-16
38,0.0,-4.770297072198677,7.134050294954619e-16,-5.715913853343579e-16
39,0.0,-3.3793720118218773,4.0592529337857286e-16,3.8163916471489756e-17
39,1.0,1.3494934852343021,-3.0010716134398763e-16,9.71445146547012e-17
40,0.0,-4.189767549731806,2.6020852139652106e-17,-3.3566899260151217e-16
40,1.0,0.41070330660141535,-2.6020852139652106e-16,-2.8102520310824275e-16
42,0.0,-0.25786651232885627,-4.0939474033052647e-16,1.6306400674181987e-16
42,1.0,1.0973383451853287,-8.673617379884035e-18,9.042246118529107e-17
43,1.0,4.888280302259437,-4.510281037539698e-16,2.740863092043355e-16
43,0.0,-3.019982160673699,-5.551115123125783e-17,-6.245004513516506e-17
44,1.0,-0.11886074070828034,-1.5959455978986625e-16,1.1882855810441129e-15
45,1.0,3.7306562849714417,-7.251144129583054e-16,4.5102810375396984e-17
45,0.0,-3.7850174250861555,2.194425197110661e-16,-4.518954654919582e-16
46,0.0,-1.9732903808378064,-1.2836953722228372e-16,2.636779683484747e-16
46,1.0,1.1588416586899344,2.0816681711721685e-17,2.2638141361497333e-16
47,1.0,2.919337635939918,-2.3245294578089215e-16,2.480654570646834e-16
48,1.0,-0.83093877010341,-8.326672684688674e-17,3.157196726277789e-16
48,0.0,-2.4636054481524607,-4.926614671774132e-16,-2.0816681711721685e-16
49,1.0,0.9392620658263623,-3.2439329000766293e-16,5.759281940243e-16
49,0.0,4.959940105055295,3.5041414214731503e-16,3.729655473350135e-17
51,1.0,0.5013562898458179,-7.979727989493313e-17,2.185751579730777e-16
51,0.0,-2.430627572471841,2.3418766925686896e-16,-3.972516759986888e-16
52,1.0,2.815369036504693,-5.412337245047638e-16,1.491862189340054e-16
52,0.0,-2.0452593868998914,2.3418766925686896e-16,-1.3704315460216776e-16
53,0.0,-4.679350468707561,4.683753385137379e-16,-7.73686670285656e-16
53,1.0,1.1583702953228703,1.1084883011491797e-15,3.191891195797325e-16
54,0.0,-0.25102754051925585,-2.8362728832220796e-16,-2.0469737016526324e-16
54,1.0,0.3103138154520919,-2.5240226575462543e-16,2.914335439641036e-16
55,0.0,-2.293024805022901,-2.740863092043355e-16,6.418476861114186e-17
