,F,P
PCA_feature_1,0.004438285432245393,0.9468838587485903
PCA_feature_2,5.130638480434008,0.023507078987655486
PCA_feature_3,66.36997053222606,3.737529462106501e-16
PCA_feature_4,6.48948045034051,0.010851468727152928
PCA_feature_5,0.5370325373020904,0.4636651477578011
PCA_feature_6,1.9219361860853366,0.16564337342827168
PCA_feature_7,3.491505457604698,0.061684465650741156
PCA_feature_8,0.4960016690823459,0.4812622422506998
PCA_feature_9,0.8877442932478588,0.3460893158840317
PCA_feature_10,0.0986383796365948,0.7534697908109497
PCA_feature_11,16.77368852829987,4.211320846020559e-05
PCA_feature_12,4.681054956440211,0.03049701431850454
PCA_feature_13,4.2000007713967085,0.04042396094847705
PCA_feature_14,11.393773718944905,0.0007369067774216985
PCA_feature_15,0.0017008416945073208,0.9671035592888806
PCA_feature_16,0.6595600944794803,0.4167152894222559
PCA_feature_17,5.570835212063601,0.018262047874011752
PCA_feature_18,0.43541382069192053,0.5093443556555275
PCA_feature_19,2.9346881645235303,0.08669540275337269
PCA_feature_20,2.5463049307885677,0.11055253823122277
PCA_feature_21,1.5623088199861617,0.21132748460725215
PCA_feature_22,0.002264419879950728,0.9620462527115305
PCA_feature_23,1.400206548840847,0.23668899069829036
PCA_feature_24,5.951539481859521,0.014704439024518635
PCA_feature_25,1.468593887788166,0.22556767762061472
PCA_feature_26,1.3115637184455273,0.2521117307035638
PCA_feature_27,0.03623154342757145,0.849038125571463
PCA_feature_28,0.011634351167277289,0.9141046455565994
PCA_feature_29,3.4914435964495523,0.06168677059056697
PCA_feature_30,0.18614726284762673,0.6661427507438631
PCA_feature_31,0.08518255164493348,0.7703932853717529
PCA_feature_32,1.9307398533845095,0.16467752394598023
PCA_feature_33,0.7833996931232103,0.3761034053066836
PCA_feature_34,0.30821309595073704,0.5787787765605589
PCA_feature_35,0.41882869114943505,0.5175220839459377
PCA_feature_36,0.28404882975137713,0.5940596669352016
PCA_feature_37,0.05363152684756438,0.8168605022700088
PCA_feature_38,2.8913759874043277,0.08905483701924995
PCA_feature_39,0.15977746673516738,0.6893614803632768
PCA_feature_40,0.0048710187641016495,0.944358670164008
PCA_feature_41,1.1093293452118873,0.2922277804582153
PCA_feature_42,3.7572211177587254,0.05257989471620723
PCA_feature_43,0.06122999104528982,0.8045623459324546
PCA_feature_44,0.570070220820553,0.4502310138501825
PCA_feature_45,0.7336720411308684,0.3916955203443582
PCA_feature_46,0.04252082711476723,0.8366301666274601
PCA_feature_47,0.19444874328744435,0.6592394748041116
PCA_feature_48,0.8347557445755185,0.36090095085890317
PCA_feature_49,1.491749496524407,0.22194521388109834
PCA_feature_50,0.09082851235774318,0.7631265043162517
PCA_feature_51,1.7837713416946706,0.18168690850159752
PCA_feature_52,0.1547458142325148,0.6940407259535607
PCA_feature_53,4.517826437959388,0.033543420215670576
PCA_feature_54,0.2641219348070717,0.6073023674178861
PCA_feature_55,0.3444512705025816,0.5572710640561112
PCA_feature_56,0.5894066970259555,0.44264863703953716
PCA_feature_57,0.32971001588374366,0.5658298911326212
PCA_feature_58,0.05073319781128373,0.8217923312070524
PCA_feature_59,3.981765981139495,0.04599531642016923
PCA_feature_60,1.4532543585637665,0.22800648018076064
PCA_feature_61,0.431236121953575,0.5113830246093449
PCA_feature_62,0.022231599312769627,0.8814726373148282
PCA_feature_63,0.10676991336557956,0.7438519435822106
PCA_feature_64,0.04122250590490001,0.8391090334749647
PCA_feature_65,0.09275063828618135,0.7607089863956387
PCA_feature_66,0.06933150468243895,0.7923126060291497
PCA_feature_67,1.3334531383211672,0.24819182878221177
PCA_feature_68,0.01030562647626764,0.9191403557135482
PCA_feature_69,2.074416890311437,0.14978717524690713
PCA_feature_70,2.0380243178019883,0.15340878297546032
PCA_feature_71,0.14013307564312624,0.7081487529376058
PCA_feature_72,0.08704430018850087,0.7679688920124749
PCA_feature_73,0.09665562689017296,0.7558805363221688
PCA_feature_74,0.09665562689017296,0.7558805363221688
PCA_feature_75,0.6441930468149907,0.4221965002592901
PCA_feature_76,0.26087189455799514,0.6095217834313181
PCA_feature_77,0.050733069401091006,0.8217925529486435
PCA_feature_78,0.042520773302787696,0.8366302685464346
PCA_feature_79,0.09275063828618135,0.7607089863956387
PCA_feature_80,0.10677004848777857,0.7438517871855843
PCA_feature_81,0.015307478389024036,0.9015342877084479
PCA_feature_82,0.0036331358963535626,0.9519362146523784
PCA_feature_83,0.2058052309863445,0.6500752785639589
PCA_feature_84,0.6140139536037745,0.43328047614002707
PCA_feature_85,0.00025160220882024925,0.9873445067959158
PCA_feature_86,0.06441016547651641,0.7996565796287762
PCA_feature_87,0.35570603916733917,0.5509007171285079
PCA_feature_88,0.025160220889244682,0.8739684779828881
PCA_feature_89,0.052172300062295784,0.8193255218000837
PCA_feature_90,0.44806327768429405,0.5032561106352846
PCA_feature_91,0.012328539440336156,0.9115894200110102
PCA_feature_92,4.0256353331652045e-05,0.9949376244112971
PCA_feature_93,0.25123990171183663,0.6162033745958275
PCA_feature_94,0.22343310834937846,0.6364364208653202
PCA_feature_95,0.11738752658092075,0.7318853837315831
PCA_feature_96,0.20293253442442444,0.6523641288185744
PCA_feature_97,0.22343791545435765,0.6364327925989135
PCA_feature_98,0.046537404669166005,0.8292018796819793
PCA_feature_99,9.057679520939881e-05,0.9924065002924312
PCA_feature_100,0.007336729696176848,0.9317409043051532
PCA_feature_101,9.057679520939881e-05,0.9924065002924312
PCA_feature_102,2.1481192749950915,0.1427446523031218
PCA_feature_103,0.011634086139168276,0.9141056201131711
PCA_feature_104,0.31529782409589097,0.5744472789721653
PCA_feature_105,0.03385567892025676,0.8540141393921955
PCA_feature_106,0.013043058508902763,0.9090743288841592
PCA_feature_107,2.19486696540731,0.13847116381445398
PCA_feature_108,0.06280997542787388,0.8021085482411876
PCA_feature_109,0.058130395042235515,0.8094757080982451
PCA_feature_110,0.07101220743780164,0.7898686688739882
PCA_feature_111,0.8003547943154586,0.3709873130278747
PCA_feature_112,0.6090522450177132,0.43514487993781037
PCA_feature_113,0.04931403294298097,0.8242612351117112
PCA_feature_114,0.35570874016464227,0.5508992047973691
PCA_feature_115,0.6189816902293079,0.43142594807796986
PCA_feature_116,0.39455251989706575,0.5299160584741849
PCA_feature_117,2.270712808943011,0.13183925176929798
PCA_feature_118,0.5845323157877363,0.44454126124532345
PCA_feature_119,1.8007572653979727,0.17962097213998288
PCA_feature_120,0.2264428477235649,0.6341740399110032
PCA_feature_121,0.905767952013377,0.3412398047687447
PCA_feature_122,1.030562647624149,0.3100265545644587
PCA_feature_123,0.551069222004979,0.4578811394578871
PCA_feature_124,1.9395685358279966,0.1637153894644273
PCA_feature_125,0.030444560796734965,0.8614853415239835
PCA_feature_126,0.020380243178012493,0.8864802112817053
PCA_feature_127,17.722795484493616,2.5554586945105562e-05
PCA_feature_128,14.216425097670793,0.00016294202838363324
PCA_feature_129,22.28356645493298,2.3521094632806106e-06
PCA_feature_130,0.7694650458363592,0.38038259555942566
PCA_feature_131,0.9179757300137482,0.33800704139176785
PCA_feature_132,5.0164372626326275,0.025107778195476316
PCA_feature_133,4.01380553702289,0.0451291796295572
PCA_feature_134,28.456060773432686,9.584924412436622e-08
PCA_feature_135,13.906876601703004,0.00019209437562433746
PCA_feature_136,1.1806163236034344,0.2772305600427175
PCA_feature_137,1.594284663220297,0.2067150415582126
PCA_feature_138,2.261940601236293,0.1325878210166639
PCA_feature_139,2.143645806400686,0.1431613098439081
PCA_feature_140,2.237607997039462,0.1346891959500433
PCA_feature_141,4.464630896025926,0.03460356507662377
PCA_feature_142,13.543368513575091,0.00023311362741763888
PCA_feature_143,1.2188476313901575,0.26958692341441903
PCA_feature_144,3.6473766584403893,0.056157599587192734
PCA_feature_145,4.397634518876439,0.035988815645838196
PCA_feature_146,15.624875711298394,7.723187149151215e-05
PCA_feature_147,16.802491064485704,4.147881745762497e-05
PCA_feature_148,0.2943085900010332,0.5874726221443154
PCA_feature_149,10.08534978048807,0.0014945279020171147
PCA_feature_150,0.007611120934341561,0.9304793632965984
PCA_feature_151,10.409742362794423,0.0012535223141644106
PCA_feature_152,0.6518848684035781,0.41943959498186634
PCA_feature_153,11.927924611980876,0.0005529874650643511
PCA_feature_154,8.855455345488426,0.0029221421277639526
PCA_feature_155,1.5904968258528878,0.2072551656314076
PCA_feature_156,8.053325536259003,0.0045420203147186105
PCA_feature_157,1.3155390093968498,0.2513942310326227
PCA_feature_158,2.511033872481966,0.11305174199347257
PCA_feature_159,1.835274783925809,0.1755057827472112
PCA_feature_160,9.470798948033904,0.00208768429071524
PCA_feature_161,4.840955965378824,0.027791484706431054
PCA_feature_162,43.56739050837528,4.096079447814746e-11
PCA_feature_163,27.968541825245087,1.2330376123396232e-07
PCA_feature_164,6.393382060013698,0.011454658174483937
PCA_feature_165,6.282062873248126,0.012196604469986695
PCA_feature_166,3.05015995903651,0.08072919144637984
PCA_feature_167,5.081110856563239,0.024187868109175517
PCA_feature_168,17.644114995849698,2.6633810650292462e-05
