,label,PCA_feature_3,PCA_feature_11,PCA_feature_13,PCA_feature_14,PCA_feature_24,PCA_feature_29,PCA_feature_33,PCA_feature_53,PCA_feature_60,PCA_feature_127,PCA_feature_129,PCA_feature_142,PCA_feature_160,PCA_feature_162,PCA_feature_167
1,0.0,-2.758241586647062,1.1438806873175698,1.6731578939470266,0.5441880541866985,-0.2981231960705304,-0.15249723957637318,0.039449553206459535,-0.275166045412577,0.039571017468346584,4.510281037539698e-16,-5.065392549852277e-16,-8.847089727481716e-17,-9.020562075079397e-17,1.0755285551056204e-16,3.3306690738754696e-16
1,1.0,4.450455152928563,0.2188137352112027,0.6564560861614033,-0.7878407205795489,-0.06502946268374361,-0.52453443917048,0.8549937782819227,-0.1445482912509509,0.032704152368752015,3.157196726277789e-16,1.2385925618474403e-15,6.938893903907228e-18,-7.632783294297951e-17,-1.9081958235744878e-17,-4.5102810375396984e-17
2,0.0,-0.526318377756612,0.3039849961140699,-0.7656058203362973,1.243961157276999,1.1454338904286046,-0.07677086614420964,0.3368948454801332,-0.04239001056493909,-0.013758596304157534,3.972516759986888e-16,-1.5959455978986625e-16,-1.468009741545373e-16,1.9949319973733282e-16,4.198030811863873e-16,-3.8163916471489756e-17
2,1.0,6.736429557835909,1.9935922253939728,-0.9104752840000243,2.429584310302784,-0.2679173570589102,-0.06535924721381405,-0.37113337709002453,0.012270306655810088,0.04358890916320687,8.847089727481716e-16,1.1969591984239969e-15,-3.729655473350135e-17,1.942890293094024e-16,3.157196726277789e-16,-2.0816681711721685e-17
3,1.0,-0.8322535979329475,-0.31705016197551456,-0.6580881311962449,-0.35524776570179545,-0.16924650970741711,-0.11780803974933168,0.44776442842782777,-0.09996256658342181,-0.06197158079920557,6.765421556309548e-17,-5.325601071248798e-16,7.632783294297951e-17,-2.636779683484747e-16,1.0009354456386177e-15,4.85722573273506e-17
5,1.0,-0.15412484136589127,-0.7034019124760265,0.019679459688551115,0.03364385448537768,-0.03655429911929085,-0.041800554107696355,-0.05143200015228469,0.06006990166050202,-0.06490246361720292,2.1510571102112408e-16,5.412337245047638e-16,1.7694179454963432e-16,-1.942890293094024e-16,2.975050761300224e-16,5.551115123125783e-17
5,0.0,1.4615717032689457,-0.922145726381419,0.5354820560810323,0.16751576231304788,-0.5257392560661045,0.17847334493900346,0.3310848160096732,-0.06483311584275607,-0.1687208641220326,4.371503159461554e-16,1.231653667943533e-16,-3.660266534311063e-16,-6.938893903907228e-17,2.3592239273284576e-16,1.0928757898653885e-16
6,1.0,-0.24022443868703702,-0.11271802619888541,-0.11911740278883562,-0.5075935899422278,0.7750470851077341,-0.1751408211056334,-0.2605807734942833,-0.3374658899796292,-0.43625617003402006,7.181755190543981e-16,-3.2526065174565133e-16,4.7271214720367993e-17,4.2365199889871086e-17,2.6194324487249787e-16,-6.938893903907228e-18
7,0.0,-1.7637474442882104,-0.0032408149354684126,0.33233169119526673,0.6976673440172517,-0.4486058936184841,-0.11704937492586162,0.024419148769520768,0.02014505081049578,0.35290700000235153,7.979727989493313e-17,1.8041124150158794e-16,-5.4643789493269423e-17,-3.469446951953614e-17,2.463307335887066e-16,2.7755575615628914e-17
7,1.0,-0.7097463204521569,-1.0941183771634149,-0.16487061145623888,0.44145228809833076,0.6618319158140803,-0.10658123089090128,0.02849078287297876,0.10065616378021701,-0.05686504836865662,2.8449465006019636e-16,2.8275992658421956e-16,1.981921571303502e-16,4.163336342344337e-17,2.1510571102112408e-16,2.0816681711721685e-17
8,0.0,-2.1258358474319663,0.6119779080028633,0.42189851811031587,0.3292867021810475,0.14432761212619935,-0.493750785566248,0.212301402164223,0.019122352552540745,0.09709203951566492,2.42861286636753e-16,1.734723475976807e-17,1.7954387976359953e-16,-2.220446049250313e-16,4.2327252813834093e-16,-3.469446951953614e-18
8,1.0,-1.2165130365745231,-0.648242928391219,-0.12067473231685642,0.05482836101768296,0.4371018152444768,-0.25726715260132865,0.016012336120752202,0.10062605442704489,0.06680912149339065,2.489328188026718e-16,-6.765421556309548e-17,4.336808689942018e-17,4.683753385137379e-17,2.896988204881268e-16,-1.470178145890344e-16
9,0.0,-1.6316498253189669,-1.4516118148820858,0.720403637516846,1.2019287796162084,-0.409619244703566,0.3621094588242386,0.34336842351934815,-0.12466774253217838,-0.045832836164025566,1.249000902703301e-16,-1.6653345369377348e-16,-1.1796119636642288e-16,7.91033905045424e-16,-2.498001805406602e-16,-1.3877787807814457e-17
10,1.0,1.9909145503468872,-0.9023831507521607,0.5476561402595909,-0.953307610299518,-0.07689424570138331,0.3525497156283774,-0.055660953333767776,-0.3425455756625671,0.5654297379193528,8.291978215169138e-16,-6.245004513516506e-16,-2.5326962749261384e-16,5.204170427930421e-18,1.9081958235744878e-16,2.0816681711721685e-16
