,rank
PCA_feature_1,20
PCA_feature_2,11
PCA_feature_3,1
PCA_feature_4,13
PCA_feature_5,8
PCA_feature_6,3
PCA_feature_7,10
PCA_feature_8,15
PCA_feature_9,6
PCA_feature_10,19
PCA_feature_11,1
PCA_feature_12,2
PCA_feature_13,1
PCA_feature_14,1
PCA_feature_15,9
PCA_feature_16,7
PCA_feature_17,1
PCA_feature_18,10
PCA_feature_19,12
PCA_feature_20,3
PCA_feature_21,4
PCA_feature_22,9
PCA_feature_23,9
PCA_feature_24,1
PCA_feature_25,4
PCA_feature_26,3
PCA_feature_27,14
PCA_feature_28,16
PCA_feature_29,1
PCA_feature_30,7
PCA_feature_31,17
PCA_feature_32,6
PCA_feature_33,1
PCA_feature_34,4
PCA_feature_35,8
PCA_feature_36,11
PCA_feature_37,9
PCA_feature_38,3
PCA_feature_39,17
PCA_feature_40,9
PCA_feature_41,3
PCA_feature_42,5
PCA_feature_43,15
PCA_feature_44,11
PCA_feature_45,5
PCA_feature_46,13
PCA_feature_47,12
PCA_feature_48,4
PCA_feature_49,2
PCA_feature_50,15
PCA_feature_51,7
PCA_feature_52,20
PCA_feature_53,1
PCA_feature_54,7
PCA_feature_55,14
PCA_feature_56,11
PCA_feature_57,15
PCA_feature_58,20
PCA_feature_59,5
PCA_feature_60,1
PCA_feature_61,10
PCA_feature_62,20
PCA_feature_63,19
PCA_feature_64,19
PCA_feature_65,10
PCA_feature_66,10
PCA_feature_67,5
PCA_feature_68,9
PCA_feature_69,3
PCA_feature_70,3
PCA_feature_71,15
PCA_feature_72,8
PCA_feature_73,17
PCA_feature_74,8
PCA_feature_75,6
PCA_feature_76,13
PCA_feature_77,18
PCA_feature_78,19
PCA_feature_79,13
PCA_feature_80,13
PCA_feature_81,12
PCA_feature_82,18
PCA_feature_83,18
PCA_feature_84,9
PCA_feature_85,14
PCA_feature_86,18
PCA_feature_87,6
PCA_feature_88,16
PCA_feature_89,18
PCA_feature_90,4
PCA_feature_91,15
PCA_feature_92,8
PCA_feature_93,16
PCA_feature_94,3
PCA_feature_95,10
PCA_feature_96,18
PCA_feature_97,12
PCA_feature_98,20
PCA_feature_99,9
PCA_feature_100,16
PCA_feature_101,16
PCA_feature_102,6
PCA_feature_103,11
PCA_feature_104,17
PCA_feature_105,7
PCA_feature_106,5
PCA_feature_107,2
PCA_feature_108,6
PCA_feature_109,12
PCA_feature_110,12
PCA_feature_111,5
PCA_feature_112,15
PCA_feature_113,16
PCA_feature_114,19
PCA_feature_115,14
PCA_feature_116,15
PCA_feature_117,14
PCA_feature_118,18
PCA_feature_119,6
PCA_feature_120,16
PCA_feature_121,5
PCA_feature_122,17
PCA_feature_123,19
PCA_feature_124,6
PCA_feature_125,17
PCA_feature_126,8
PCA_feature_127,1
PCA_feature_128,8
PCA_feature_129,1
PCA_feature_130,19
PCA_feature_131,13
PCA_feature_132,14
PCA_feature_133,8
PCA_feature_134,4
PCA_feature_135,1
PCA_feature_136,13
PCA_feature_137,10
PCA_feature_138,11
PCA_feature_139,5
PCA_feature_140,20
PCA_feature_141,10
PCA_feature_142,1
PCA_feature_143,14
PCA_feature_144,14
PCA_feature_145,7
PCA_feature_146,1
PCA_feature_147,2
PCA_feature_148,17
PCA_feature_149,16
PCA_feature_150,17
PCA_feature_151,4
PCA_feature_152,18
PCA_feature_153,7
PCA_feature_154,19
PCA_feature_155,20
PCA_feature_156,2
PCA_feature_157,13
PCA_feature_158,11
PCA_feature_159,12
PCA_feature_160,1
PCA_feature_161,20
PCA_feature_162,1
PCA_feature_163,4
PCA_feature_164,12
PCA_feature_165,2
PCA_feature_166,7
PCA_feature_167,1
PCA_feature_168,11
