,Coef
PCA_feature_3,0.590771004764501
PCA_feature_11,-0.8405304532514463
PCA_feature_13,-0.7995977688467776
PCA_feature_14,-1.1114863426675834
PCA_feature_17,0.6454762984249179
PCA_feature_24,-1.5546029686851002
PCA_feature_29,-1.1791635230377386
PCA_feature_33,-0.7505976694955554
PCA_feature_53,-2.019096455139893
PCA_feature_60,-2.011577480001079
PCA_feature_107,-0.874700853938307
PCA_feature_127,4.147091052701908e-15
PCA_feature_129,4.7805908668660975e-15
PCA_feature_135,2.769071716202135e-16
PCA_feature_142,4.982201754022304e-15
PCA_feature_146,3.1803946691405845e-15
PCA_feature_147,-1.7383145660022734e-15
PCA_feature_160,-6.788808502082197e-15
PCA_feature_162,1.7724440918302246e-14
PCA_feature_167,-2.7409039730523984e-15
