,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9690
balance_train_Cutoff,0.4497
balance_train_Acc,0.9167
balance_train_MCC,0.8333
balance_train_Sen,0.9167
balance_train_Spe,0.9167
balance_train_PPV,0.9167
balance_train_NPV,0.9167
balance_train_Youden Index,0.8333
balance_train_AUC,0.9664
balance_train_95% CIs,[0.9440-0.9888]
balance_train_Std,0.0114
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9424
train_Cutoff,0.4497
train_Acc,0.9134
train_MCC,0.8109
train_Sen,0.9070
train_Spe,0.9167
train_PPV,0.8478
train_NPV,0.9506
train_Youden Index,0.8236
train_AUC,0.9643
train_95% CIs,[0.9356-0.9930]
train_Std,0.0146
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7972
test_Cutoff,0.3964
test_Acc,0.8182
test_MCC,0.6422
test_Sen,0.8947
test_Spe,0.7778
test_PPV,0.6800
test_NPV,0.9333
test_Youden Index,0.6725
test_AUC,0.8772
test_95% CIs,[0.7783-0.9761]
test_Std,0.0504
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9762
cv_train_Cutoff,0.3730
cv_train_Acc,0.9435
cv_train_MCC,0.8905
cv_train_Sen,0.9881
cv_train_Spe,0.8988
cv_train_PPV,0.9071
cv_train_NPV,0.9869
cv_train_Youden Index,0.8869
cv_train_AUC,0.9825
cv_train_95% CIs,[0.9738-0.9912]
cv_train_Std,0.0044
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7902
cv_val_Cutoff,0.3123
cv_val_Acc,0.8819
cv_val_MCC,0.7721
cv_val_Sen,0.9767
cv_val_Spe,0.8333
cv_val_PPV,0.7500
cv_val_NPV,0.9859
cv_val_Youden Index,0.8101
cv_val_AUC,0.9377
cv_val_95% CIs,[0.8954-0.9800]
cv_val_Std,0.0216
