,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7100
balance_train_Cutoff,0.5502
balance_train_Acc,0.6905
balance_train_MCC,0.3922
balance_train_Sen,0.5714
balance_train_Spe,0.8095
balance_train_PPV,0.7500
balance_train_NPV,0.6538
balance_train_Youden Index,0.3810
balance_train_AUC,0.6828
balance_train_95% CIs,[0.6008-0.7649]
balance_train_Std,0.0419
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.5356
train_Cutoff,0.5502
train_Acc,0.7244
train_MCC,0.3746
train_Sen,0.5581
train_Spe,0.8095
train_PPV,0.6000
train_NPV,0.7816
train_Youden Index,0.3677
train_AUC,0.6747
train_95% CIs,[0.5702-0.7792]
train_Std,0.0533
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6070
test_Cutoff,0.5755
test_Acc,0.7636
test_MCC,0.4607
test_Sen,0.5789
test_Spe,0.8611
test_PPV,0.6875
test_NPV,0.7949
test_Youden Index,0.4401
test_AUC,0.7412
test_95% CIs,[0.5973-0.8851]
test_Std,0.0734
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.5534
cv_train_Cutoff,0.5111
cv_train_Acc,0.5565
cv_train_MCC,0.1189
cv_train_Sen,0.7113
cv_train_Spe,0.4018
cv_train_PPV,0.5432
cv_train_NPV,0.5819
cv_train_Youden Index,0.1131
cv_train_AUC,0.5555
cv_train_95% CIs,[0.5121-0.5990]
cv_train_Std,0.0222
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.3747
cv_val_Cutoff,0.4910
cv_val_Acc,0.4488
cv_val_MCC,0.1329
cv_val_Sen,0.8837
cv_val_Spe,0.2262
cv_val_PPV,0.3689
cv_val_NPV,0.7917
cv_val_Youden Index,0.1099
cv_val_AUC,0.5305
cv_val_95% CIs,[0.4245-0.6364]
cv_val_Std,0.0541
