,Coef
PCA_feature_2,-0.13556495116231826
PCA_feature_3,0.13368368758893867
PCA_feature_13,0.22328875940596982
PCA_feature_130,-3.2036649394113595e-15
PCA_feature_131,-1.7074387823636667e-14
PCA_feature_135,1.0528259877462919e-14
PCA_feature_137,1.262194329211682e-14
PCA_feature_142,-4.483808508641533e-14
PCA_feature_143,-6.801375808279715e-15
PCA_feature_145,3.8956863872066615e-15
PCA_feature_146,5.679201896598431e-15
PCA_feature_153,-3.3898684735355395e-14
PCA_feature_155,2.6625533481274306e-14
PCA_feature_156,-5.624908405295424e-14
PCA_feature_162,4.004778617135584e-15
