,F,P
PCA_feature_1,1.3710395866651857,0.24331143675649416
PCA_feature_2,30.486076426059324,1.2740443983704232e-07
PCA_feature_3,45.29382565209217,2.630333223183047e-10
PCA_feature_4,0.17475800456126417,0.6764576493582034
PCA_feature_5,5.133430671531185,0.024761485604754614
PCA_feature_6,0.13576794272311865,0.7129945082300932
PCA_feature_7,2.760642940486011,0.09849679676792479
PCA_feature_8,2.6186537505157257,0.10751251194871445
PCA_feature_9,3.323034210895534,0.07011474912651997
PCA_feature_10,0.6047498125787667,0.4378783730124238
PCA_feature_11,6.472113894782256,0.011870583516143125
PCA_feature_12,2.8298291864158847,0.09440832026070127
PCA_feature_13,14.905171078676608,0.00016169165086120314
PCA_feature_14,0.06973135673332409,0.7920558719959298
PCA_feature_15,0.16997542664921464,0.680665576653587
PCA_feature_16,6.031726349571229,0.015081162366876287
PCA_feature_17,0.2883893336473854,0.5919735957821679
PCA_feature_18,2.2782590492468215,0.13310010208929332
PCA_feature_19,0.2619172997598007,0.6094861347291131
PCA_feature_20,0.14858252876098785,0.7003871360618219
PCA_feature_21,1.4389751399782997,0.2320146093065032
PCA_feature_22,0.0248263977992547,0.8749919067164763
PCA_feature_23,3.1296833548712852,0.07871500153703974
PCA_feature_24,0.0977868335101682,0.7548943617691749
PCA_feature_25,2.132078735178762,0.14613500521956804
PCA_feature_26,5.52420735218824,0.01993040728957839
PCA_feature_27,0.10260016650457358,0.7491342026382577
PCA_feature_28,0.034256590577394684,0.853388025550083
PCA_feature_29,0.025661354103454333,0.8729248965909122
PCA_feature_30,1.1776432073335017,0.2794097789822349
PCA_feature_31,1.5879346030613977,0.20939005729219295
PCA_feature_32,0.3849557781644308,0.535813719043774
PCA_feature_33,0.06821104365226606,0.7942832712180727
PCA_feature_34,0.15977487070519644,0.6898777151292794
PCA_feature_35,3.541790613154068,0.06159106347903792
PCA_feature_36,3.0288481498464974,0.08364918105785811
PCA_feature_37,0.04687381789620027,0.8288610379263275
PCA_feature_38,0.11631868761538103,0.7334932708108769
PCA_feature_39,0.6870853138599659,0.40834782236205514
PCA_feature_40,0.6075716594870287,0.43681345019762674
PCA_feature_41,1.8564729836705736,0.17487811616673965
PCA_feature_42,0.29901223302594027,0.585236627865928
PCA_feature_43,0.02492513436213582,0.8747456363453315
PCA_feature_44,0.572022422736193,0.4505283803464082
PCA_feature_45,0.0011987929062806269,0.9724214897428731
PCA_feature_46,0.9405386554381879,0.33355028246128127
PCA_feature_47,0.012983713804895958,0.9094182168819993
PCA_feature_48,1.2452811070399856,0.2660684475820098
PCA_feature_49,0.037878979768668566,0.8459243382371331
PCA_feature_50,0.5718905122717912,0.4505805144104279
PCA_feature_51,0.9820527466324858,0.3231348334107129
PCA_feature_52,0.9763506728583867,0.3245394903043328
PCA_feature_53,0.5618595617258224,0.4545729216542208
PCA_feature_54,1.6562454522747307,0.19990269931554686
PCA_feature_55,0.4805601393282005,0.4891374866885766
PCA_feature_56,0.449928224819486,0.5033012364394446
PCA_feature_57,0.6922105854301166,0.4066087598834133
PCA_feature_58,2.485003871261668,0.11683989406183527
PCA_feature_59,0.08300376671307101,0.7736267258140265
PCA_feature_60,0.026069646704831334,0.871926689837342
PCA_feature_61,2.0374820782475735,0.1553419028148645
PCA_feature_62,0.03829450039360018,0.8450922985239901
PCA_feature_63,0.004938857125401618,0.9440577768536718
PCA_feature_64,0.03327367872645845,0.8554829708234346
PCA_feature_65,0.1308955485460527,0.7179654211749185
PCA_feature_66,3.0545906573021073e-05,0.9955968823192494
PCA_feature_67,1.2110441024436978,0.2727186873837854
PCA_feature_68,0.00048520311632780185,0.9824526124606516
