,label,PCA_feature_2,PCA_feature_3,PCA_feature_131,PCA_feature_135,PCA_feature_137,PCA_feature_162
1,0.0,-0.3508062245247552,-20.704172677364035,1.8578888427711604e-15,2.8796409701215e-16,-1.9845236565174673e-15,4.3021142204224816e-16
1,1.0,-7.226435699639554,22.923878217561438,-6.591949208711867e-17,2.7651492207070305e-15,5.336009412104659e-15,-3.0635216585750413e-15
1,1.0,-7.226435699639554,22.923878217561438,-6.591949208711867e-17,2.7651492207070305e-15,5.336009412104659e-15,-3.0635216585750413e-15
1,1.0,-7.226435699639554,22.923878217561438,-6.591949208711867e-17,2.7651492207070305e-15,5.336009412104659e-15,-3.0635216585750413e-15
2,1.0,-1.3533672270778556,32.129038064447805,-8.916478666520788e-16,2.6732088764802597e-15,8.049116928532385e-15,-8.396061623727746e-16
2,0.0,0.7722204928988893,-4.659755304834523,-3.1953606427492787e-15,1.1796119636642288e-15,5.537237335317968e-15,1.394717674685353e-15
2,1.0,-1.3533672270778556,32.129038064447805,-8.916478666520788e-16,2.6732088764802597e-15,8.049116928532385e-15,-8.396061623727746e-16
2,1.0,-1.3533672270778556,32.129038064447805,-8.916478666520788e-16,2.6732088764802597e-15,8.049116928532385e-15,-8.396061623727746e-16
3,1.0,-14.290481634488552,-8.496784974305262,-4.0939474033052647e-16,4.163336342344337e-17,-3.9898639947466563e-17,4.0245584642661925e-16
5,1.0,-9.096729085532258,-1.4797168132544616,-2.851885394505871e-15,-3.0704605524789486e-16,-8.326672684688674e-16,-5.828670879282072e-16
5,0.0,9.100181839822339,5.616500721972715,-3.8163916471489756e-17,2.345346139520643e-15,-1.0824674490095276e-15,5.759281940243e-16
5,1.0,-9.096729085532258,-1.4797168132544616,-2.851885394505871e-15,-3.0704605524789486e-16,-8.326672684688674e-16,-5.828670879282072e-16
5,1.0,-9.096729085532258,-1.4797168132544616,-2.851885394505871e-15,-3.0704605524789486e-16,-8.326672684688674e-16,-5.828670879282072e-16
6,1.0,-9.820885048444259,-5.143296072004946,-1.9853910182554557e-15,-5.412337245047638e-16,-8.396061623727746e-16,-5.551115123125783e-16
7,0.0,-7.341917311351689,-13.282130587128474,1.734723475976807e-16,1.1102230246251565e-16,-2.123301534595612e-15,9.783840404509192e-16
7,1.0,-5.841690641053986,-3.4308148144348847,-1.8457457784393227e-15,2.0469737016526324e-15,-2.1198320876436583e-15,3.660266534311063e-16
7,1.0,-5.841690641053986,-3.430814814434886,-1.4988010832439613e-15,2.0747292772682613e-15,-2.1510571102112408e-15,1.734723475976807e-16
8,1.0,-8.073774863263825,-8.18200702701287,-6.739400704169896e-16,7.077671781985373e-16,-3.0531133177191805e-16,7.667477763817487e-16
8,0.0,-6.835924746423361,-12.415014510488243,-2.345346139520643e-15,2.914335439641036e-16,-1.582067810090848e-15,-1.942890293094024e-16
8,1.0,-8.073774863263825,-8.18200702701287,-6.739400704169896e-16,7.077671781985373e-16,-3.0531133177191805e-16,7.667477763817487e-16
9,0.0,72.407737738879,-5.210669040533466,6.022959908591474e-15,-8.916478666520788e-16,-2.5673907444456745e-15,-2.3418766925686896e-16
10,1.0,6.507317647736497,5.070351615238596,-5.715913853343579e-15,9.853229343548264e-16,-3.0531133177191805e-16,2.42861286636753e-16
11,1.0,-7.617916552513526,-9.042166587126967,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-16,-1.214306433183765e-16
11,0.0,15.006012505722746,-4.539032954891779,8.069933610244107e-15,5.551115123125783e-17,-2.706168622523819e-15,1.609823385706477e-15
11,1.0,-7.617916552513526,-9.042166587126967,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-16,-1.214306433183765e-16
12,1.0,7.8516219558640765,3.8257093178742414,-2.8345381597461028e-15,3.885780586188048e-16,-5.412337245047638e-16,1.4641066137244252e-15
12,1.0,7.8516219558640765,3.8257093178742414,-2.8345381597461028e-15,3.885780586188048e-16,-5.412337245047638e-16,1.4641066137244252e-15
12,0.0,-8.058605319108112,-12.455282318492511,4.440892098500626e-16,-2.42861286636753e-16,-1.9897278269453977e-15,4.978656376053436e-16
12,1.0,7.8516219558640765,3.8257093178742414,-2.8345381597461028e-15,3.885780586188048e-16,-5.412337245047638e-16,1.4641066137244252e-15
12,1.0,7.8516219558640765,3.8257093178742414,-2.8345381597461028e-15,3.885780586188048e-16,-5.412337245047638e-16,1.4641066137244252e-15
13,1.0,-1.560996409152655,-0.6238368685446207,8.326672684688674e-16,1.2628786905111156e-15,8.72565908416334e-16,2.5673907444456745e-16
13,0.0,27.567817197183373,-1.188936875504766,5.648259637780484e-15,-2.858824288409778e-15,1.0824674490095276e-15,1.8943180357666733e-15
14,1.0,12.517425245800096,16.124249306345483,-4.787836793695988e-16,-6.487865800153259e-16,-6.245004513516506e-16,1.519617764955683e-15
14,0.0,42.14909781077642,20.33532934903771,3.3514857555871913e-15,-1.3322676295501878e-15,-5.412337245047638e-15,5.079270337660091e-15
15,1.0,18.077108115948228,24.692075315236867,-2.1024848528838902e-15,1.8596235662471372e-15,1.304512053934559e-15,3.0531133177191805e-16
15,1.0,18.07710811594823,24.692075315236863,-2.4702462297909733e-15,1.4988010832439613e-15,7.771561172376096e-16,1.9081958235744878e-16
15,0.0,5.19811688325433,-18.864094290086587,2.4962670819306254e-15,-3.58046925441613e-15,-2.831068712794149e-15,1.5699247457590104e-15
17,0.0,-12.289664130252008,-8.854987022628265,-3.6461719060687514e-16,9.020562075079397e-16,1.3877787807814457e-16,1.8457457784393227e-15
17,1.0,-12.679127881666638,1.3134382469033308,-1.2004286453759505e-15,2.914335439641036e-16,2.9976021664879227e-15,-9.853229343548264e-16
17,1.0,-12.679127881666638,1.3134382469033308,-1.2004286453759505e-15,2.914335439641036e-16,2.9976021664879227e-15,-9.853229343548264e-16
18,0.0,1.4993986411920188,12.770053141687828,2.060851489460447e-15,-1.942890293094024e-16,5.551115123125783e-16,9.124645483638005e-16
19,0.0,6.6328478776634885,-12.596829101497049,1.5057399771478686e-15,-3.8441472227646045e-15,-2.6020852139652106e-15,-4.0939474033052647e-16
19,1.0,-4.492488251840375,10.900576005510267,4.85722573273506e-17,8.23126289350995e-16,5.204170427930421e-16,-6.106226635438361e-16
19,1.0,-4.492488251840374,10.900576005510265,4.85722573273506e-17,8.617238866914789e-16,3.5388358909926865e-16,-5.169475958410885e-16
