,F,P
PCA_feature_1,0.1473488770452903,0.7010818502866762
PCA_feature_2,29.051264871253448,7.04880635380027e-08
PCA_feature_3,47.741579936410766,4.862682063367112e-12
PCA_feature_4,0.1285106211158766,0.7199813034962512
PCA_feature_5,11.760560687061322,0.0006049899949968195
PCA_feature_6,0.20293330488850594,0.6523635123373027
PCA_feature_7,3.269847135581992,0.07056419858412405
PCA_feature_8,0.1780263625264881,0.673074868406377
PCA_feature_9,3.397303921568636,0.06530307412379113
PCA_feature_10,0.9547220942613556,0.328520234377195
PCA_feature_11,7.582535301341146,0.005893649005983137
PCA_feature_12,7.670172422209327,0.005614109213034422
PCA_feature_13,27.733233630296954,1.392498280914729e-07
PCA_feature_14,0.12400245738086797,0.7247334016356244
PCA_feature_15,0.5004821168981048,0.4792883607845606
PCA_feature_16,4.917379643130538,0.02658781348440088
PCA_feature_17,0.007890255256319766,0.9292193131437176
PCA_feature_18,2.773917863556406,0.09581139113029405
PCA_feature_19,0.0008151911568277408,0.9772222517253331
PCA_feature_20,0.5510782883849776,0.45787744053758617
PCA_feature_21,0.5942743533160534,0.4407709964231433
PCA_feature_22,0.45659878030172407,0.4992178424252238
PCA_feature_23,3.11117595525951,0.07775680084103623
PCA_feature_24,0.04517774980319173,0.8316775206019403
PCA_feature_25,8.57388872878745,0.0034101802744557056
PCA_feature_26,2.465956370133074,0.11633687303484001
PCA_feature_27,0.3153050066786135,0.5744429202327097
PCA_feature_28,0.527782880246117,0.46754047696708967
PCA_feature_29,0.06933150468243895,0.7923126060291497
PCA_feature_30,1.7166214867442637,0.19012851528825708
PCA_feature_31,2.6692478341419337,0.10230436251167162
PCA_feature_32,0.17802388422111978,0.6730770121190301
PCA_feature_33,0.20580054278582444,0.6500789982046
PCA_feature_34,0.46089557362152717,0.4972057228686235
PCA_feature_35,2.9783260516339007,0.08438650684437504
PCA_feature_36,6.8333436385820105,0.008947162154609832
PCA_feature_37,0.10064088355697873,0.751061900066505
PCA_feature_38,0.5845330555400637,0.4445409730663129
PCA_feature_39,1.2118068148221246,0.27097458184386547
PCA_feature_40,0.0010064088355652395,0.9746921972710225
PCA_feature_41,3.0666378357112096,0.07991459259571644
PCA_feature_42,0.5324024020331476,0.46559858737134907
PCA_feature_43,0.10470677525274188,0.7462528038014672
PCA_feature_44,1.3555237120165409,0.244314770396863
PCA_feature_45,0.11738752658092075,0.7318853837315831
PCA_feature_46,0.4396094434654892,0.5073110206106625
PCA_feature_47,0.10470717278735876,0.746252338686427
PCA_feature_48,2.0835284390278694,0.14889564578990266
PCA_feature_49,0.01860852291957201,0.8914947498560433
PCA_feature_50,0.30821309595073704,0.5787787765605589
PCA_feature_51,1.8349751658073612,0.1755410322496776
PCA_feature_52,0.14492287232207665,0.7034352430605926
PCA_feature_53,0.4066018065213097,0.5236993529070362
PCA_feature_54,2.111083429846177,0.1462357519744675
PCA_feature_55,1.3043355633932543,0.2534227991667474
PCA_feature_56,0.351939122810877,0.5530174869622808
PCA_feature_57,0.9859699199083946,0.3207293600916925
PCA_feature_58,2.5767689262412667,0.10844281572187847
PCA_feature_59,0.07971764386548359,0.7776804161921633
PCA_feature_60,0.011634100862635338,0.9141055659720096
PCA_feature_61,0.03269822306763685,0.856503762068242
PCA_feature_62,0.12177577732918203,0.727116439716216
PCA_feature_63,0.05813017434250973,0.8094760628199829
PCA_feature_64,0.9796786168977657,0.32227816335157944
PCA_feature_65,0.5991763226292517,0.43889246898591594
PCA_feature_66,0.014532561977238909,0.9040466216446226
PCA_feature_67,1.0893469877098756,0.2966159405620716
PCA_feature_68,0.09082851235774318,0.7631265043162517
PCA_feature_69,0.8522564802754918,0.35591477326226206
