,label,PCA_feature_2,PCA_feature_3,PCA_feature_11,PCA_feature_13,PCA_feature_16,PCA_feature_26,PCA_feature_131,PCA_feature_135,PCA_feature_137,PCA_feature_142,PCA_feature_147,PCA_feature_153
1,0.0,-0.3508062245247552,-20.704172677364035,18.577186602608442,0.5458396516213753,-9.045148974725347,-1.8286955646627814,1.8578888427711604e-15,2.8796409701215e-16,-1.9845236565174673e-15,-5.030698080332741e-16,2.983724378680108e-16,1.609823385706477e-15
1,1.0,-7.226435699639554,22.923878217561438,4.0006981598034885,6.281213650839398,-4.803001351837717,0.6624963288890364,-6.591949208711867e-17,2.7651492207070305e-15,5.336009412104659e-15,-5.637851296924623e-16,-5.689893001203927e-16,-1.4155343563970746e-15
2,0.0,0.7722204928988893,-4.659755304834523,0.9291416531873937,-3.717302344050841,-0.7836508139526059,-1.7527504358480384,-3.1953606427492787e-15,1.1796119636642288e-15,5.537237335317968e-15,1.3877787807814457e-17,-2.8935187579293142e-15,-9.610368056911511e-16
2,1.0,-1.3533672270778556,32.129038064447805,7.77545107455297,-12.511770909106481,2.3949967637537948,0.15998620680481374,-8.916478666520788e-16,2.6732088764802597e-15,8.049116928532385e-15,-1.1657341758564144e-15,-2.373101715136272e-15,5.898059818321144e-16
3,1.0,-14.290481634488552,-8.496784974305262,-3.2045069534109034,-0.35516190139644943,2.464080143234514,1.183300553426048,-4.0939474033052647e-16,4.163336342344337e-17,-3.9898639947466563e-17,-5.0306980803327406e-17,-1.762479051592436e-15,-1.3600232051658168e-15
5,1.0,-9.096729085532258,-1.4797168132544616,-1.9828200814900985,3.4130552704468253,0.49386821935055303,1.4594962060203085,-2.851885394505871e-15,-3.0704605524789486e-16,-8.326672684688674e-16,6.865168156178214e-16,2.220446049250313e-16,-6.245004513516506e-16
5,0.0,9.100181839822339,5.616500721972716,-1.9817764601887338,-3.279802038660538,-2.7353096261060648,-0.7149887400679614,2.2768245622195593e-16,2.67841304690819e-15,-1.1934897514720433e-15,1.2200865860158283e-15,-7.771561172376096e-16,1.9984014443252818e-15
6,1.0,-9.820885048444259,-5.143296072004946,-1.1114766481007963,2.524770844681156,-0.10018300708481241,3.553746151050932,-1.9853910182554557e-15,-5.412337245047638e-16,-8.396061623727746e-16,1.7728873924482969e-15,8.187894806610529e-16,-1.5300261058115439e-15
7,0.0,-7.341917311351689,-13.282130587128474,7.184854614979039,0.9570888840127757,-3.154337176390144,-2.986440777811545,1.734723475976807e-16,1.1102230246251565e-16,-2.123301534595612e-15,1.4589024432964948e-15,-1.5265566588595902e-16,7.181755190543981e-16
7,1.0,-5.841690641053986,-3.4308148144348847,-3.638702520880764,2.389264262677972,-1.6480446380271363,-0.39413016414178575,-1.8457457784393227e-15,2.0469737016526324e-15,-2.1198320876436583e-15,-5.828670879282072e-16,-2.7755575615628914e-16,-6.453171330633722e-16
8,0.0,-6.835924746423361,-12.415014510488243,3.993303831801347,-2.356501199889854,-0.6052250267593535,-1.235891865066545,-2.1163626406917047e-15,3.0531133177191805e-16,-1.27675647831893e-15,6.245004513516506e-17,8.187894806610529e-16,-2.8796409701215e-16
8,1.0,-8.073774863263825,-8.18200702701287,-0.9763688538506361,2.261142167634162,-2.445170215819232,-1.7800458723017976,-6.739400704169896e-16,7.077671781985373e-16,-3.0531133177191805e-16,-3.9898639947466563e-16,-1.2108369862318114e-15,-9.115971866258121e-16
9,0.0,72.407737738879,-5.210669040533466,1.3763506306556934,0.4387171449766265,6.760441190682019,2.0583176354095394,6.022959908591474e-15,-8.916478666520788e-16,-2.5673907444456745e-15,-2.3433945756101693e-15,1.249000902703301e-16,1.304512053934559e-15
10,1.0,6.507317647736496,5.070351615238595,-0.34192192377712227,2.147838194650376,2.0099286447302864,-3.9094434084641727,-5.766220834146907e-15,1.033895191682177e-15,3.469446951953614e-17,6.036837696399289e-16,-5.551115123125783e-17,1.7486012637846216e-15
11,0.0,15.006012505722746,-4.539032954891779,5.378204006576274,-5.091538716687707,1.3304305639344904,-5.685186143581519,8.069933610244107e-15,5.551115123125783e-17,-2.706168622523819e-15,-5.759281940243e-16,8.81239525796218e-16,2.6645352591003757e-15
11,1.0,-7.617916552513526,-9.042166587126967,1.3030605098136494,1.5535672857593186,-0.8922818616393747,-0.49735549749536123,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-16,-2.2898349882893854e-16,-3.5388358909926865e-16,-8.326672684688674e-16
12,1.0,7.8516219558640765,3.8257093178742414,0.052551090224522756,3.555302782672919,6.498712776293807,1.652118030655129,-2.8345381597461028e-15,3.885780586188048e-16,-5.412337245047638e-16,-1.1362438767648086e-15,7.320533068622126e-16,1.5092094240998222e-16
12,0.0,-8.058605319108112,-12.455282318492511,4.983522222254106,-0.9874108742770984,-0.7482878715770173,2.2444184018921063,4.440892098500626e-16,-2.42861286636753e-16,-1.9897278269453977e-15,1.7416623698807143e-15,1.3322676295501878e-15,5.342948306008566e-16
13,0.0,27.567817197183373,-1.188936875504766,-3.6605511220601503,7.144971924335398,7.267946757243997,-1.0663580251837692,5.648259637780484e-15,-2.858824288409778e-15,1.0824674490095276e-15,-6.661338147750939e-16,9.71445146547012e-16,1.1379786002407855e-15
