,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9501
balance_train_Cutoff,0.4356
balance_train_Acc,0.9107
balance_train_MCC,0.8286
balance_train_Sen,0.9762
balance_train_Spe,0.8452
balance_train_PPV,0.8632
balance_train_NPV,0.9726
balance_train_Youden Index,0.8214
balance_train_AUC,0.9549
balance_train_95% CIs,[0.9250-0.9849]
balance_train_Std,0.0153
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9065
train_Cutoff,0.4356
train_Acc,0.8898
train_MCC,0.7850
train_Sen,0.9767
train_Spe,0.8452
train_PPV,0.7636
train_NPV,0.9861
train_Youden Index,0.8220
train_AUC,0.9529
train_95% CIs,[0.9172-0.9887]
train_Std,0.0182
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8878
test_Cutoff,0.7337
test_Acc,0.9091
test_MCC,0.7971
test_Sen,0.8421
test_Spe,0.9444
test_PPV,0.8889
test_NPV,0.9189
test_Youden Index,0.7865
test_AUC,0.9094
test_95% CIs,[0.8035-1.0000]
test_Std,0.0540
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9596
cv_train_Cutoff,0.5000
cv_train_Acc,0.9405
cv_train_MCC,0.8820
cv_train_Sen,0.9643
cv_train_Spe,0.9167
cv_train_PPV,0.9205
cv_train_NPV,0.9625
cv_train_Youden Index,0.8810
cv_train_AUC,0.9726
cv_train_95% CIs,[0.9600-0.9852]
cv_train_Std,0.0064
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6861
cv_val_Cutoff,0.6024
cv_val_Acc,0.8268
cv_val_MCC,0.6058
cv_val_Sen,0.6977
cv_val_Spe,0.8929
cv_val_PPV,0.7692
cv_val_NPV,0.8523
cv_val_Youden Index,0.5905
cv_val_AUC,0.8386
cv_val_95% CIs,[0.7656-0.9116]
cv_val_Std,0.0372
