,rank
PCA_feature_1,15
PCA_feature_2,1
PCA_feature_3,1
PCA_feature_4,7
PCA_feature_5,9
PCA_feature_6,6
PCA_feature_7,13
PCA_feature_8,7
PCA_feature_9,1
PCA_feature_10,1
PCA_feature_11,1
PCA_feature_12,1
PCA_feature_13,1
PCA_feature_14,16
PCA_feature_15,15
PCA_feature_16,1
PCA_feature_17,18
PCA_feature_18,4
PCA_feature_19,8
PCA_feature_20,19
PCA_feature_21,7
PCA_feature_22,9
PCA_feature_23,1
PCA_feature_24,6
PCA_feature_25,1
PCA_feature_26,1
PCA_feature_27,17
PCA_feature_28,14
PCA_feature_29,11
PCA_feature_30,7
PCA_feature_31,3
PCA_feature_32,11
PCA_feature_33,19
PCA_feature_34,16
PCA_feature_35,3
PCA_feature_36,3
PCA_feature_37,14
PCA_feature_38,8
PCA_feature_39,7
PCA_feature_40,4
PCA_feature_41,2
PCA_feature_42,18
PCA_feature_43,18
PCA_feature_44,6
PCA_feature_45,14
PCA_feature_46,8
PCA_feature_47,18
PCA_feature_48,4
PCA_feature_49,19
PCA_feature_50,10
PCA_feature_51,4
PCA_feature_52,4
PCA_feature_53,4
PCA_feature_54,3
PCA_feature_55,10
PCA_feature_56,7
PCA_feature_57,7
PCA_feature_58,1
PCA_feature_59,15
PCA_feature_60,14
PCA_feature_61,2
PCA_feature_62,16
PCA_feature_63,14
PCA_feature_64,20
PCA_feature_65,17
PCA_feature_66,18
PCA_feature_67,6
PCA_feature_68,17
PCA_feature_69,5
PCA_feature_70,2
PCA_feature_71,4
PCA_feature_72,16
PCA_feature_73,13
PCA_feature_74,12
PCA_feature_75,13
PCA_feature_76,9
PCA_feature_77,12
PCA_feature_78,8
PCA_feature_79,11
PCA_feature_80,15
PCA_feature_81,20
PCA_feature_82,13
PCA_feature_83,19
PCA_feature_84,4
PCA_feature_85,10
PCA_feature_86,18
PCA_feature_87,12
PCA_feature_88,16
PCA_feature_89,11
PCA_feature_90,19
PCA_feature_91,17
PCA_feature_92,13
PCA_feature_93,8
PCA_feature_94,5
PCA_feature_95,11
PCA_feature_96,18
PCA_feature_97,12
PCA_feature_98,14
PCA_feature_99,11
PCA_feature_100,17
PCA_feature_101,20
PCA_feature_102,5
PCA_feature_103,12
PCA_feature_104,19
PCA_feature_105,5
PCA_feature_106,5
PCA_feature_107,10
PCA_feature_108,8
PCA_feature_109,5
PCA_feature_110,14
PCA_feature_111,16
PCA_feature_112,17
PCA_feature_113,18
PCA_feature_114,11
PCA_feature_115,9
PCA_feature_116,16
PCA_feature_117,20
PCA_feature_118,15
PCA_feature_119,6
PCA_feature_120,10
PCA_feature_121,10
PCA_feature_122,6
PCA_feature_123,20
PCA_feature_124,13
PCA_feature_125,14
PCA_feature_126,12
PCA_feature_127,12
PCA_feature_128,10
PCA_feature_129,6
PCA_feature_130,3
PCA_feature_131,1
PCA_feature_132,6
PCA_feature_133,5
PCA_feature_134,20
PCA_feature_135,1
PCA_feature_136,10
PCA_feature_137,1
PCA_feature_138,15
PCA_feature_139,16
PCA_feature_140,20
PCA_feature_141,15
PCA_feature_142,1
PCA_feature_143,1
PCA_feature_144,15
PCA_feature_145,3
PCA_feature_146,2
PCA_feature_147,1
PCA_feature_148,8
PCA_feature_149,9
PCA_feature_150,9
PCA_feature_151,13
PCA_feature_152,17
PCA_feature_153,1
PCA_feature_154,7
PCA_feature_155,2
PCA_feature_156,8
PCA_feature_157,19
PCA_feature_158,3
PCA_feature_159,13
PCA_feature_160,11
PCA_feature_161,9
PCA_feature_162,3
PCA_feature_163,9
PCA_feature_164,17
PCA_feature_165,19
PCA_feature_166,20
PCA_feature_167,5
PCA_feature_168,12
