,label,PCA_feature_88,PCA_feature_11,PCA_feature_17,PCA_feature_137,PCA_feature_37,PCA_feature_3,PCA_feature_167,PCA_feature_130,PCA_feature_15,PCA_feature_89,PCA_feature_142,PCA_feature_138,PCA_feature_18,PCA_feature_13,PCA_feature_117,PCA_feature_97,PCA_feature_1,PCA_feature_80
1,0.0,0.2849800000815409,18.577186602608442,0.8238866272604934,-1.9845236565174673e-15,3.24746796517082,-20.704172677364035,-8.396061623727746e-16,-1.908195823574488e-15,0.41994681094431857,-0.6367818614281252,-5.030698080332741e-16,-1.3773704399255848e-15,-0.72802498281346,0.5458396516213753,0.17243805802209639,-0.11868308170767858,16.832811192464426,-0.31089634044386805
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15,-6.196715220382919,-0.04621966655347862,-5.637851296924623e-16,-2.55351295663786e-15,2.5020501567682967,6.281213650839398,-0.02757904837288923,-0.21075786335793611,-10.396344868768177,0.137987725145795
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15,-6.196715220382919,-0.04621966655347862,-5.637851296924623e-16,-2.55351295663786e-15,2.5020501567682967,6.281213650839398,-0.02757904837288923,-0.21075786335793611,-10.396344868768177,0.137987725145795
1,1.0,0.22385124384908778,4.0006981598034885,-1.020926169526052,5.336009412104659e-15,2.8164702887989344,22.923878217561438,-8.951173136040325e-16,3.5882755100580255e-15,-6.196715220382919,-0.04621966655347862,-5.637851296924623e-16,-2.55351295663786e-15,2.5020501567682967,6.281213650839398,-0.02757904837288923,-0.21075786335793611,-10.396344868768177,0.137987725145795
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15,0.7626072114964566,0.01727244281063471,-1.1657341758564144e-15,1.457167719820518e-16,2.6848851689770856,-12.511770909106481,-0.015032229169668739,-0.01944381576158736,1.2529615655782995,0.059100303237676635
2,0.0,-0.19422968341802965,0.9291416531873937,-3.6908183326337762,5.537237335317968e-15,2.9729400690385126,-4.659755304834523,-8.326672684688674e-17,2.1441182163073336e-15,0.3481836993852655,0.16158807344257603,1.3877787807814457e-17,-1.4502288259166107e-15,-2.499634781085889,-3.717302344050841,0.05829159567015621,-0.004529685745653864,4.680783749409015,-0.047540696633218416
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15,0.7626072114964566,0.01727244281063471,-1.1657341758564144e-15,1.457167719820518e-16,2.6848851689770856,-12.511770909106481,-0.015032229169668739,-0.01944381576158736,1.2529615655782995,0.059100303237676635
2,1.0,-0.021889964987214305,7.77545107455297,0.39236503532139094,8.049116928532385e-15,0.11802108422031035,32.129038064447805,-1.096345236817342e-15,-2.1163626406917047e-15,0.7626072114964566,0.01727244281063471,-1.1657341758564144e-15,1.457167719820518e-16,2.6848851689770856,-12.511770909106481,-0.015032229169668739,-0.01944381576158736,1.2529615655782995,0.059100303237676635
3,1.0,-0.02455470958324693,-3.2045069534109034,0.08203851136958529,-3.9898639947466563e-17,2.3084246360537537,-8.496784974305262,1.3530843112619095e-16,4.787836793695988e-16,3.790790912225049,0.5097801284615244,-5.0306980803327406e-17,-9.43689570931383e-16,-2.4665031099495334,-0.35516190139644943,-0.26823266585084526,0.2493263405296155,-1.5158066424925336,-1.3108482190053603
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17,1.7300513956053625,0.1419785995591155,6.865168156178214e-16,1.4432899320127035e-15,2.7917984565495693,3.4130552704468253,0.20864146269860134,0.1278393834548808,2.1912142400977004,-0.5886066700981031
5,0.0,0.04260699087754122,-1.981776460188734,-0.3869834686586394,-1.0824674490095276e-15,3.481049371825381,5.616500721972715,-2.3592239273284576e-16,-3.3306690738754696e-15,1.1068755096068537,0.10722844283871241,6.245004513516506e-16,2.2967738821932926e-15,6.471988061360064,-3.279802038660538,-0.07052567284314247,-0.006632099009956399,56.121549484147465,-0.08913118983287457
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17,1.7300513956053625,0.1419785995591155,6.865168156178214e-16,1.4432899320127035e-15,2.7917984565495693,3.4130552704468253,0.20864146269860134,0.1278393834548808,2.1912142400977004,-0.5886066700981031
5,1.0,0.5559858792202086,-1.9828200814900985,0.693643624833751,-8.326672684688674e-16,0.29822164787055133,-1.4797168132544616,-5.412337245047638e-16,6.245004513516506e-17,1.7300513956053625,0.1419785995591155,6.865168156178214e-16,1.4432899320127035e-15,2.7917984565495693,3.4130552704468253,0.20864146269860134,0.1278393834548808,2.1912142400977004,-0.5886066700981031
