,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.6068
balance_train_Cutoff,0.5096
balance_train_Acc,0.6190
balance_train_MCC,0.2425
balance_train_Sen,0.5238
balance_train_Spe,0.7143
balance_train_PPV,0.6471
balance_train_NPV,0.6000
balance_train_Youden Index,0.2381
balance_train_AUC,0.6193
balance_train_95% CIs,[0.5346-0.7040]
balance_train_Std,0.0432
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.4523
train_Cutoff,0.5121
train_Acc,0.6535
train_MCC,0.2265
train_Sen,0.4884
train_Spe,0.7381
train_PPV,0.4884
train_NPV,0.7381
train_Youden Index,0.2265
train_AUC,0.6203
train_95% CIs,[0.5151-0.7255]
train_Std,0.0537
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4031
test_Cutoff,0.5000
test_Acc,0.6000
test_MCC,0.3437
test_Sen,0.8947
test_Spe,0.4444
test_PPV,0.4595
test_NPV,0.8889
test_Youden Index,0.3392
test_AUC,0.6272
test_95% CIs,[0.4787-0.7757]
test_Std,0.0758
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.5455
cv_train_Cutoff,0.4719
cv_train_Acc,0.5580
cv_train_MCC,0.1448
cv_train_Sen,0.8571
cv_train_Spe,0.2589
cv_train_PPV,0.5363
cv_train_NPV,0.6444
cv_train_Youden Index,0.1161
cv_train_AUC,0.5396
cv_train_95% CIs,[0.4960-0.5833]
cv_train_Std,0.0223
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.3747
cv_val_Cutoff,0.4816
cv_val_Acc,0.4803
cv_val_MCC,0.1320
cv_val_Sen,0.8140
cv_val_Spe,0.3095
cv_val_PPV,0.3763
cv_val_NPV,0.7647
cv_val_Youden Index,0.1235
cv_val_AUC,0.5482
cv_val_95% CIs,[0.4429-0.6534]
cv_val_Std,0.0537
