,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_ANOVA_1_SVM,168,84,84,0.5000,[0.5000-0.5000],0.0000,0.7500,1.5000,0.0000,0.5000,0.0000,0.0000,1.0000,0.0000,0.5000
Zscore_PCA_ANOVA_1_DT,168,84,84,0.5000,[0.5000-0.5000],0.0000,0.7500,1.5000,0.0000,0.5000,0.0000,0.0000,1.0000,0.0000,0.5000
Zscore_PCA_ANOVA_2_SVM,168,84,84,0.8087,[0.7420-0.8754],0.0340,0.7314,0.4330,0.5137,0.7560,0.5119,0.7976,0.7143,0.7363,0.7792
Zscore_PCA_ANOVA_2_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_3_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_3_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_4_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_4_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_5_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_5_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_6_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_6_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_7_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_8_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_8_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_9_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_9_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_10_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_10_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_11_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_ANOVA_11_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_12_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_12_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_13_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_13_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_14_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_14_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_15_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_15_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_16_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_16_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_17_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_17_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_18_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_18_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_19_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_19_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_20_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_ANOVA_20_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_1_SVM,168,84,84,0.8087,[0.7420-0.8754],0.0340,0.7314,0.4330,0.5137,0.7560,0.5119,0.7976,0.7143,0.7363,0.7792
Zscore_PCA_KW_1_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_2_SVM,168,84,84,0.8087,[0.7420-0.8754],0.0340,0.7314,0.4330,0.5137,0.7560,0.5119,0.7976,0.7143,0.7363,0.7792
Zscore_PCA_KW_2_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_3_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_KW_3_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_4_SVM,168,84,84,0.8880,[0.8367-0.9393],0.0262,0.8353,0.5469,0.6548,0.8274,0.6548,0.8214,0.8333,0.8313,0.8235
Zscore_PCA_KW_4_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_5_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_5_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_6_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_6_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_7_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_7_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_8_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_8_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_9_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_9_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_10_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_10_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_11_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_11_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_12_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
Zscore_PCA_KW_12_DT,168,84,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_KW_13_SVM,168,84,84,0.9240,[0.8807-0.9674],0.0221,0.8983,0.4676,0.8262,0.9107,0.8214,0.9643,0.8571,0.8710,0.9600
