,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_ANOVA_1_SVM,672,336,336,0.7606,[0.7252-0.7961],0.0181,0.7176,0.4137,0.4393,0.7068,0.4137,0.8750,0.5387,0.6548,0.8117
Zscore_PCA_ANOVA_1_DT,672,336,336,0.9801,[0.9741-0.9862],0.0031,0.9834,1.0000,0.8170,0.9003,0.8006,0.8006,1.0000,1.0000,0.8337
Zscore_PCA_ANOVA_2_SVM,672,336,336,0.8163,[0.7845-0.8481],0.0162,0.7747,0.4112,0.5263,0.7560,0.5119,0.8720,0.6399,0.7077,0.8333
Zscore_PCA_ANOVA_2_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_3_SVM,672,336,336,0.8724,[0.8454-0.8995],0.0138,0.8338,0.4850,0.6332,0.8155,0.6310,0.8571,0.7738,0.7912,0.8442
Zscore_PCA_ANOVA_3_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_4_SVM,672,336,336,0.8889,[0.8633-0.9146],0.0131,0.8429,0.4757,0.6830,0.8393,0.6786,0.8958,0.7827,0.8048,0.8826
Zscore_PCA_ANOVA_4_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_5_SVM,672,336,336,0.9028,[0.8787-0.9268],0.0123,0.8573,0.4884,0.7187,0.8586,0.7173,0.8899,0.8274,0.8375,0.8825
Zscore_PCA_ANOVA_5_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_6_SVM,672,336,336,0.9096,[0.8869-0.9322],0.0116,0.8725,0.4884,0.7096,0.8542,0.7083,0.8839,0.8244,0.8343,0.8766
Zscore_PCA_ANOVA_6_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_SVM,672,336,336,0.9096,[0.8869-0.9322],0.0116,0.8725,0.4884,0.7096,0.8542,0.7083,0.8839,0.8244,0.8343,0.8766
Zscore_PCA_ANOVA_7_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_8_SVM,672,336,336,0.9197,[0.8981-0.9413],0.0110,0.8793,0.4416,0.7489,0.8720,0.7440,0.9286,0.8155,0.8342,0.9195
Zscore_PCA_ANOVA_8_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_9_SVM,672,336,336,0.9261,[0.9055-0.9468],0.0105,0.8909,0.4387,0.7674,0.8810,0.7619,0.9405,0.8214,0.8404,0.9324
Zscore_PCA_ANOVA_9_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_10_SVM,672,336,336,0.9319,[0.9122-0.9515],0.0100,0.9002,0.4153,0.7818,0.8869,0.7738,0.9583,0.8155,0.8385,0.9514
Zscore_PCA_ANOVA_10_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_11_SVM,672,336,336,0.9332,[0.9136-0.9528],0.0100,0.8956,0.5455,0.7721,0.8854,0.7708,0.9137,0.8571,0.8648,0.9085
Zscore_PCA_ANOVA_11_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_12_SVM,672,336,336,0.9412,[0.9229-0.9596],0.0094,0.9058,0.5162,0.7983,0.8988,0.7976,0.9196,0.8780,0.8829,0.9161
Zscore_PCA_ANOVA_12_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_13_SVM,672,336,336,0.9440,[0.9264-0.9617],0.0090,0.9147,0.4563,0.7980,0.8973,0.7946,0.9435,0.8512,0.8638,0.9377
Zscore_PCA_ANOVA_13_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_14_SVM,672,336,336,0.9443,[0.9268-0.9618],0.0089,0.9183,0.4279,0.8039,0.8988,0.7976,0.9613,0.8363,0.8545,0.9558
Zscore_PCA_ANOVA_14_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_15_SVM,672,336,336,0.9521,[0.9352-0.9689],0.0086,0.9299,0.4563,0.8464,0.9211,0.8423,0.9702,0.8720,0.8835,0.9670
Zscore_PCA_ANOVA_15_DT,672,336,336,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_16_SVM,672,336,336,0.9608,[0.9462-0.9755],0.0075,0.9501,0.5000,0.8741,0.9360,0.8720,0.9702,0.9018,0.9081,0.9681
