,Number,PosNum,NegNum,AUC,95% CIs,Std,AUC-PR,Cutoff,MCC,Acc,Youden Index,Sen,Spe,PPV,NPV
Zscore_PCA_ANOVA_1_SVM,127,43,84,0.5000,[0.5000-0.5000],0.0000,0.6693,1.5000,0.0000,0.6614,0.0000,0.0000,1.0000,0.0000,0.6614
Zscore_PCA_ANOVA_1_DT,127,43,84,0.5000,[0.5000-0.5000],0.0000,0.6693,1.5000,0.0000,0.6614,0.0000,0.0000,1.0000,0.0000,0.6614
Zscore_PCA_ANOVA_2_SVM,127,43,84,0.7907,[0.7146-0.8668],0.0388,0.5586,0.3429,0.4843,0.6929,0.5017,0.9302,0.5714,0.5263,0.9412
Zscore_PCA_ANOVA_2_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_3_SVM,127,43,84,0.8828,[0.8240-0.9415],0.0300,0.7103,0.4764,0.6381,0.8189,0.6694,0.8837,0.7857,0.6786,0.9296
Zscore_PCA_ANOVA_3_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_4_SVM,127,43,84,0.8828,[0.8240-0.9415],0.0300,0.7103,0.4764,0.6381,0.8189,0.6694,0.8837,0.7857,0.6786,0.9296
Zscore_PCA_ANOVA_4_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_5_SVM,127,43,84,0.8828,[0.8240-0.9415],0.0300,0.7103,0.4764,0.6381,0.8189,0.6694,0.8837,0.7857,0.6786,0.9296
Zscore_PCA_ANOVA_5_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_6_SVM,127,43,84,0.8828,[0.8240-0.9415],0.0300,0.7103,0.4764,0.6381,0.8189,0.6694,0.8837,0.7857,0.6786,0.9296
Zscore_PCA_ANOVA_6_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Zscore_PCA_ANOVA_7_SVM,127,43,84,0.8828,[0.8240-0.9415],0.0300,0.7103,0.4764,0.6381,0.8189,0.6694,0.8837,0.7857,0.6786,0.9296
Zscore_PCA_ANOVA_7_DT,127,43,84,1.0000,[1.0000-1.0000],0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
