,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7393
balance_train_Cutoff,0.5233
balance_train_Acc,0.8333
balance_train_MCC,0.6684
balance_train_Sen,0.8690
balance_train_Spe,0.7976
balance_train_PPV,0.8111
balance_train_NPV,0.8590
balance_train_Youden Index,0.6667
balance_train_AUC,0.8345
balance_train_95% CIs,[0.7682-0.9007]
balance_train_Std,0.0338
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.5997
train_Cutoff,0.5233
train_Acc,0.8189
train_MCC,0.6299
train_Sen,0.8605
train_Spe,0.7976
train_PPV,0.6852
train_NPV,0.9178
train_Youden Index,0.6581
train_AUC,0.8292
train_95% CIs,[0.7544-0.9040]
train_Std,0.0381
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8083
test_Cutoff,0.4735
test_Acc,0.8182
test_MCC,0.6879
test_Sen,1.0000
test_Spe,0.7222
test_PPV,0.6552
test_NPV,1.0000
test_Youden Index,0.7222
test_AUC,0.8904
test_95% CIs,[0.8083-0.9724]
test_Std,0.0418
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7783
cv_train_Cutoff,0.5014
cv_train_Acc,0.7664
cv_train_MCC,0.5327
cv_train_Sen,0.7679
cv_train_Spe,0.7649
cv_train_PPV,0.7656
cv_train_NPV,0.7672
cv_train_Youden Index,0.5327
cv_train_AUC,0.8180
cv_train_95% CIs,[0.7859-0.8501]
cv_train_Std,0.0164
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6328
cv_val_Cutoff,0.4683
cv_val_Acc,0.7559
cv_val_MCC,0.5132
cv_val_Sen,0.8140
cv_val_Spe,0.7262
cv_val_PPV,0.6034
cv_val_NPV,0.8841
cv_val_Youden Index,0.5401
cv_val_AUC,0.8065
cv_val_95% CIs,[0.7268-0.8862]
cv_val_Std,0.0407
