,F,P
PCA_feature_1,0.328440983124377,0.5673540475300547
PCA_feature_2,67.94464034817415,4.855020752412756e-14
PCA_feature_3,5.966402096218863,0.015629328644413437
PCA_feature_4,0.6669064741776733,0.4153026431861363
PCA_feature_5,5.538443946483825,0.019774237661202707
PCA_feature_6,0.0016557477017142812,0.9675912311945434
PCA_feature_7,0.8721478203551919,0.35171782062223644
PCA_feature_8,3.99140931273593,0.047365983934895196
PCA_feature_9,5.226643673847371,0.02350744019072191
PCA_feature_10,5.152043810185297,0.024505583692834124
PCA_feature_11,4.596530925414645,0.03349225724895809
PCA_feature_12,0.354815000474787,0.552211308272781
PCA_feature_13,10.930369604392167,0.0011594318170567797
PCA_feature_14,14.79185687651638,0.00017085352839792847
PCA_feature_15,0.23422772153265753,0.6290444595394231
PCA_feature_16,1.47497644887874,0.22628698073524792
PCA_feature_17,1.8028724323632468,0.1811987742249526
PCA_feature_18,0.013849761000382503,0.9064595208091537
PCA_feature_19,2.0043452077099078,0.15872250000682364
PCA_feature_20,4.581822442504313,0.03377282344959069
PCA_feature_21,1.2460470596810402,0.26592201038700153
PCA_feature_22,0.12216209814350146,0.7271442504041937
PCA_feature_23,0.004314447249116554,0.9477080892615699
PCA_feature_24,0.11210570078554555,0.7381821404037054
PCA_feature_25,1.6746104107496311,0.19743961467917925
PCA_feature_26,2.697644842289858,0.10238957838624378
PCA_feature_27,1.0816520276642634,0.2998407078656628
PCA_feature_28,0.5616369334369584,0.4546621608725546
PCA_feature_29,2.572752490671128,0.11061933511968995
PCA_feature_30,0.29614553876174055,0.5870391822541204
PCA_feature_31,0.3897115800332958,0.5333080525676157
PCA_feature_32,0.018334467272288043,0.8924558596072941
PCA_feature_33,2.2774010070834065,0.13317267640282035
PCA_feature_34,0.6076415601022715,0.4367871212694885
PCA_feature_35,1.0851375655340307,0.2990658388009958
PCA_feature_36,0.7639185347951509,0.383367697676002
PCA_feature_37,0.4864568310287213,0.48648780487088206
PCA_feature_38,1.630905338249575,0.20336127597700598
PCA_feature_39,0.0021768753592737904,0.9628426873866127
PCA_feature_40,0.3138711307035402,0.5760696527010887
PCA_feature_41,0.3649953360457701,0.5465697391460014
PCA_feature_42,1.0821608129969729,0.29972743800413193
PCA_feature_43,0.617758157620633,0.43300207563076987
PCA_feature_44,1.0616973280984678,0.3043273248817572
PCA_feature_45,0.3058777374262664,0.580964902891091
PCA_feature_46,2.6510355031800863,0.10537890912218302
PCA_feature_47,1.0209100814843488,0.31377373328947933
PCA_feature_48,0.0012353843230099293,0.9720039281590895
PCA_feature_49,2.364072246349901,0.12606162602639354
PCA_feature_50,0.10200289597330067,0.7498407562069807
PCA_feature_51,0.4862648052713212,0.4865737148135718
PCA_feature_52,0.10357389520911042,0.7479871579358718
PCA_feature_53,0.3819922047868309,0.5373859974955579
PCA_feature_54,0.2617085108956778,0.6096286359065632
PCA_feature_55,1.5213849208825772,0.2191536975986191
PCA_feature_56,0.6689432347826298,0.4145927166687372
PCA_feature_57,0.3633338721751369,0.5474830777979212
PCA_feature_58,0.008363436381609642,0.9272438475061074
PCA_feature_59,0.7616306035813742,0.3840793216343542
PCA_feature_60,3.1843468214688873,0.0761731512354459
PCA_feature_61,0.11810444929948503,0.7315344206047175
PCA_feature_62,0.351181304128454,0.5542515790300288
PCA_feature_63,0.1132063750244438,0.7369477941354629
PCA_feature_64,0.3698894299944544,0.5438957739475392
PCA_feature_65,0.013343991450637364,0.908175602204922
PCA_feature_66,0.6881210575760762,0.40799550092132564
PCA_feature_67,0.11207629893032016,0.7382152052691786
PCA_feature_68,0.007893401204972587,0.9293123370442362
PCA_feature_69,0.28832171694694186,0.5920169875843256
PCA_feature_70,0.17730247543611993,0.6742464460200852
PCA_feature_71,0.3294939479940363,0.5667341784076564
PCA_feature_72,0.329834287484122,0.5665341060648976
PCA_feature_73,0.21331896440337936,0.6447830872505784
PCA_feature_74,0.2775312714327522,0.5990271552116039
PCA_feature_75,0.8852906404472026,0.3481238834559419
PCA_feature_76,0.4495424658917505,0.5034840377283869
PCA_feature_77,0.7270130462995312,0.39508163161099863
PCA_feature_78,0.7630761213931843,0.3836294978066509
PCA_feature_79,0.1486685736269136,0.7003046309764047
PCA_feature_80,0.6620954335126231,0.41698676828935755
