,Coef
PCA_feature_2,-1.1996322784180062
PCA_feature_3,-0.2704191921429947
PCA_feature_13,-2.6914183902780557
PCA_feature_14,-2.844450567913173
PCA_feature_129,-21681145424343.77
PCA_feature_136,-1311168162570352.8
PCA_feature_137,3173639771158828.5
PCA_feature_138,-2927481847189023.5
PCA_feature_141,-1064288369816382.5
PCA_feature_142,1047299269387031.8
PCA_feature_146,-2668646521117735.0
PCA_feature_147,2748327120353903.0
PCA_feature_148,-4924757182248332.0
PCA_feature_149,-3395231261528859.0
PCA_feature_150,-1.3150514280564224e+16
PCA_feature_161,4034792897806586.0
PCA_feature_163,-2957471386348762.0
PCA_feature_164,-1328386697824006.0
PCA_feature_165,-51224407515555.94
PCA_feature_167,-350821990111999.5
