,Coef
PCA_feature_2,-0.824856477532076
PCA_feature_3,0.33552203384050383
PCA_feature_13,-1.500293672412
PCA_feature_14,-1.686880887967363
PCA_feature_129,2.3593135059499027e-15
PCA_feature_136,8.634742005086538e-16
PCA_feature_137,-3.8524952551080877e-16
PCA_feature_138,-1.6815013735362713e-15
PCA_feature_141,6.565350676071004e-16
PCA_feature_142,-1.572540630029753e-17
PCA_feature_146,-1.148608750434598e-15
PCA_feature_147,-3.6094840902021776e-16
PCA_feature_148,-5.814100742466742e-16
PCA_feature_149,-1.3759157627807654e-16
PCA_feature_150,-1.8305783295870106e-15
PCA_feature_161,4.749793216394575e-17
PCA_feature_163,-3.775350194228665e-16
PCA_feature_164,1.7897495191657467e-17
PCA_feature_165,6.910919078335563e-16
PCA_feature_167,1.5643526275718983e-16
