,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8849
balance_train_Cutoff,0.5891
balance_train_Acc,0.8810
balance_train_MCC,0.7621
balance_train_Sen,0.8929
balance_train_Spe,0.8690
balance_train_PPV,0.8721
balance_train_NPV,0.8902
balance_train_Youden Index,0.7619
balance_train_AUC,0.9069
balance_train_95% CIs,[0.8586-0.9552]
balance_train_Std,0.0247
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7951
train_Cutoff,0.5891
train_Acc,0.8661
train_MCC,0.7120
train_Sen,0.8605
train_Spe,0.8690
train_PPV,0.7708
train_NPV,0.9241
train_Youden Index,0.7295
train_AUC,0.9023
train_95% CIs,[0.8469-0.9577]
train_Std,0.0283
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7389
test_Cutoff,0.4469
test_Acc,0.8727
test_MCC,0.7673
test_Sen,1.0000
test_Spe,0.8056
test_PPV,0.7308
test_NPV,1.0000
test_Youden Index,0.8056
test_AUC,0.9211
test_95% CIs,[0.8464-0.9957]
test_Std,0.0381
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9629
cv_train_Cutoff,0.5618
cv_train_Acc,0.9315
cv_train_MCC,0.8633
cv_train_Sen,0.9435
cv_train_Spe,0.9196
cv_train_PPV,0.9215
cv_train_NPV,0.9421
cv_train_Youden Index,0.8631
cv_train_AUC,0.9698
cv_train_95% CIs,[0.9577-0.9818]
cv_train_Std,0.0062
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8161
cv_val_Cutoff,0.5137
cv_val_Acc,0.8661
cv_val_MCC,0.7029
cv_val_Sen,0.8140
cv_val_Spe,0.8929
cv_val_PPV,0.7955
cv_val_NPV,0.9036
cv_val_Youden Index,0.7068
cv_val_AUC,0.8973
cv_val_95% CIs,[0.8387-0.9559]
cv_val_Std,0.0299
