,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.7528
balance_train_Cutoff,0.5946
balance_train_Acc,0.7917
balance_train_MCC,0.5834
balance_train_Sen,0.7857
balance_train_Spe,0.7976
balance_train_PPV,0.7952
balance_train_NPV,0.7882
balance_train_Youden Index,0.5833
balance_train_AUC,0.8199
balance_train_95% CIs,[0.7528-0.8869]
balance_train_Std,0.0342
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6357
train_Cutoff,0.4318
train_Acc,0.7795
train_MCC,0.5679
train_Sen,0.8605
train_Spe,0.7381
train_PPV,0.6271
train_NPV,0.9118
train_Youden Index,0.5986
train_AUC,0.8209
train_95% CIs,[0.7417-0.9000]
train_Std,0.0404
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6208
test_Cutoff,0.4475
test_Acc,0.8545
test_MCC,0.6883
test_Sen,0.8421
test_Spe,0.8611
test_PPV,0.7619
test_NPV,0.9118
test_Youden Index,0.7032
test_AUC,0.8480
test_95% CIs,[0.7399-0.9560]
test_Std,0.0551
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9007
cv_train_Cutoff,0.4987
cv_train_Acc,0.8631
cv_train_MCC,0.7304
cv_train_Sen,0.9167
cv_train_Spe,0.8095
cv_train_PPV,0.8280
cv_train_NPV,0.9067
cv_train_Youden Index,0.7262
cv_train_AUC,0.9184
cv_train_95% CIs,[0.8975-0.9392]
cv_train_Std,0.0106
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7420
cv_val_Cutoff,0.5208
cv_val_Acc,0.8583
cv_val_MCC,0.6922
cv_val_Sen,0.8372
cv_val_Spe,0.8690
cv_val_PPV,0.7660
cv_val_NPV,0.9125
cv_val_Youden Index,0.7063
cv_val_AUC,0.8477
cv_val_95% CIs,[0.7685-0.9269]
cv_val_Std,0.0404
