,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8138
balance_train_Cutoff,0.5788
balance_train_Acc,0.7917
balance_train_MCC,0.5834
balance_train_Sen,0.7857
balance_train_Spe,0.7976
balance_train_PPV,0.7952
balance_train_NPV,0.7882
balance_train_Youden Index,0.5833
balance_train_AUC,0.8284
balance_train_95% CIs,[0.7645-0.8923]
balance_train_Std,0.0326
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7087
train_Cutoff,0.5058
train_Acc,0.7795
train_MCC,0.5679
train_Sen,0.8605
train_Spe,0.7381
train_PPV,0.6271
train_NPV,0.9118
train_Youden Index,0.5986
train_AUC,0.8342
train_95% CIs,[0.7578-0.9105]
train_Std,0.0390
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6825
test_Cutoff,0.5132
test_Acc,0.8545
test_MCC,0.6883
test_Sen,0.8421
test_Spe,0.8611
test_PPV,0.7619
test_NPV,0.9118
test_Youden Index,0.7032
test_AUC,0.8743
test_95% CIs,[0.7805-0.9680]
test_Std,0.0478
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8187
cv_train_Cutoff,0.5377
cv_train_Acc,0.7708
cv_train_MCC,0.5419
cv_train_Sen,0.7560
cv_train_Spe,0.7857
cv_train_PPV,0.7791
cv_train_NPV,0.7630
cv_train_Youden Index,0.5417
cv_train_AUC,0.8376
cv_train_95% CIs,[0.8072-0.8679]
cv_train_Std,0.0155
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4809
cv_val_Cutoff,0.4928
cv_val_Acc,0.7087
cv_val_MCC,0.4035
cv_val_Sen,0.7209
cv_val_Spe,0.7024
cv_val_PPV,0.5536
cv_val_NPV,0.8310
cv_val_Youden Index,0.4233
cv_val_AUC,0.6827
cv_val_95% CIs,[0.5819-0.7835]
cv_val_Std,0.0514
