,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9651
balance_train_Cutoff,0.5761
balance_train_Acc,0.9405
balance_train_MCC,0.8810
balance_train_Sen,0.9405
balance_train_Spe,0.9405
balance_train_PPV,0.9405
balance_train_NPV,0.9405
balance_train_Youden Index,0.8810
balance_train_AUC,0.9714
balance_train_95% CIs,[0.9473-0.9954]
balance_train_Std,0.0123
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9287
train_Cutoff,0.5761
train_Acc,0.9291
train_MCC,0.8428
train_Sen,0.9070
train_Spe,0.9405
train_PPV,0.8864
train_NPV,0.9518
train_Youden Index,0.8475
train_AUC,0.9651
train_95% CIs,[0.9360-0.9942]
train_Std,0.0148
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8509
test_Cutoff,0.5657
test_Acc,0.8727
test_MCC,0.7156
test_Sen,0.7895
test_Spe,0.9167
test_PPV,0.8333
test_NPV,0.8919
test_Youden Index,0.7061
test_AUC,0.8904
test_95% CIs,[0.7966-0.9841]
test_Std,0.0478
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9468
cv_train_Cutoff,0.5210
cv_train_Acc,0.9226
cv_train_MCC,0.8467
cv_train_Sen,0.9524
cv_train_Spe,0.8929
cv_train_PPV,0.8989
cv_train_NPV,0.9494
cv_train_Youden Index,0.8452
cv_train_AUC,0.9614
cv_train_95% CIs,[0.9469-0.9759]
cv_train_Std,0.0074
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7661
cv_val_Cutoff,0.5056
cv_val_Acc,0.8346
cv_val_MCC,0.6330
cv_val_Sen,0.7674
cv_val_Spe,0.8690
cv_val_PPV,0.7500
cv_val_NPV,0.8795
cv_val_Youden Index,0.6365
cv_val_AUC,0.8491
cv_val_95% CIs,[0.7683-0.9299]
cv_val_Std,0.0412
