,label,PCA_feature_2,PCA_feature_3,PCA_feature_9,PCA_feature_13,PCA_feature_14,PCA_feature_129,PCA_feature_136,PCA_feature_137,PCA_feature_138,PCA_feature_148,PCA_feature_149,PCA_feature_150,PCA_feature_163,PCA_feature_167
1,1.0,-4.6052184687565125,2.0406985207759605,-0.3606068344574774,0.2643551752775043,0.1269469915651668,2.2724877535296173e-16,3.7816971776294395e-16,-1.1015494072452725e-16,-3.8163916471489756e-17,-1.0755285551056204e-16,3.2699537522162814e-16,-3.625572064791527e-16,8.326672684688674e-17,2.5673907444456745e-16
2,1.0,-4.480450374651669,5.989643021988443,-0.9786483972361366,-0.6638556321671852,1.0373864969131075,6.175615574477433e-16,2.6020852139652106e-16,-2.7929047963226594e-16,-6.245004513516506e-17,-2.0469737016526324e-16,2.1163626406917047e-16,-1.214306433183765e-16,-5.637851296924623e-17,1.457167719820518e-16
2,0.0,0.9626202212005489,0.6085705652592501,0.6331674872840238,-1.064808321829548,0.2204641127157782,2.5673907444456745e-16,-4.822531263215524e-16,-8.326672684688674e-17,1.5785983631388945e-16,1.2880321809127793e-16,-2.7582103268031233e-16,-3.469446951953614e-17,-9.540979117872439e-17,-3.8163916471489756e-17
3,0.0,0.7149419220625326,-1.5951521535710156,0.19444321470935608,-0.5047553204565768,0.03443521924832517,8.500145032286355e-17,-1.6132928326584306e-16,4.683753385137379e-17,1.0711917464156784e-16,3.2612801348363973e-16,-2.2724877535296173e-16,2.47198095326695e-16,-5.204170427930421e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-2.5750092138980016,-0.9101642996652712,-0.05542168526297024,-0.2581477638742542,-2.8449465006019636e-16,-5.93275428784068e-16,-2.2898349882893854e-16,1.0685896612017132e-15,1.6653345369377348e-16,-4.85722573273506e-17,1.6393136847980827e-16,-1.5959455978986625e-16,-7.632783294297951e-17
5,0.0,1.62718882318057,4.092096539680207,0.6849688889004081,0.5203234808654291,-0.32482304167132686,-1.1102230246251565e-16,-3.608224830031759e-16,3.0184188481996443e-16,3.469446951953614e-17,4.510281037539698e-16,-6.800116025829084e-16,2.8362728832220796e-16,-2.2898349882893854e-16,-2.7755575615628914e-17
5,1.0,-1.5942384344162133,-2.256024022855022,0.3114762648858655,-0.5657961172682708,-0.25395758507522903,1.0755285551056204e-16,2.7755575615628914e-17,-4.5102810375396984e-17,-2.7755575615628914e-17,3.9898639947466563e-17,-2.255140518769849e-16,5.898059818321144e-17,1.8041124150158794e-16,-1.474514954580286e-17
7,0.0,0.23115796550844425,-2.6432573698753825,-0.06784433221648428,-0.32969183995046103,0.10165218168653914,-6.938893903907228e-17,-3.642919299551295e-17,9.540979117872439e-17,5.160802341031001e-17,2.255140518769849e-16,-3.7470027081099033e-16,2.636779683484747e-16,6.938893903907228e-17,-9.71445146547012e-17
7,1.0,-0.7789744119904478,-2.087157568325727,0.7035035053839136,-0.3988861509071059,-0.12053300486379842,2.237793284010081e-16,-1.9125326322644298e-16,-7.28583859910259e-17,1.0408340855860843e-17,-5.984795992119984e-17,-1.1687699419393738e-16,1.3877787807814457e-17,1.734723475976807e-17,5.551115123125783e-17
8,1.0,-0.20380204211282232,-2.070336722602821,0.4954623460076483,-0.6445650674544503,-0.2196555971641439,2.3765711620882257e-16,-9.194034422677078e-17,-1.0408340855860843e-17,2.7755575615628914e-17,6.158268339717665e-17,-1.1796119636642288e-16,9.367506770274758e-17,6.071532165918825e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,6.998716741878816,3.4366200859455436,-0.8780061342401277,0.5715417050811012,-2.983724378680108e-16,-5.689893001203927e-16,-4.163336342344337e-17,4.2500725161431774e-16,2.7755575615628914e-17,4.0245584642661925e-16,-1.5959455978986625e-16,-5.134781488891349e-16,-6.245004513516506e-17
10,1.0,1.2447264568798149,4.284171154592976,0.3697095076412208,1.6240195606379204,-0.9341690556370712,-5.828670879282072e-16,6.938893903907228e-17,2.2898349882893854e-16,-6.852157730108388e-17,1.5265566588595902e-16,-3.885780586188048e-16,-2.220446049250313e-16,0.0,-1.8041124150158794e-16
11,1.0,0.1809925109640407,-1.3276402977298223,0.34146430448702714,-0.6794359202675878,-0.49457639969069683,1.6653345369377348e-16,-1.8041124150158794e-16,-4.163336342344337e-17,2.1510571102112408e-16,2.5847379792054426e-16,1.0408340855860843e-17,1.1882855810441129e-16,-1.9081958235744878e-16,-2.42861286636753e-17
11,0.0,4.183979238323507,3.7879082630628367,-1.3757686554258226,-0.29233234871035424,1.2014479231570354,2.1510571102112408e-16,-3.469446951953614e-17,1.214306433183765e-16,2.185751579730777e-16,-3.5388358909926865e-16,-3.191891195797325e-16,-1.3877787807814457e-16,-6.38378239159465e-16,-4.510281037539698e-16
12,1.0,1.8731441696749336,3.378496499129752,0.4365129503213203,0.5187670301651326,-0.358218241225184,2.0816681711721685e-17,-3.469446951953614e-16,2.8102520310824275e-16,-1.9081958235744878e-17,2.5673907444456745e-16,-5.273559366969494e-16,1.214306433183765e-17,-6.245004513516506e-17,-5.551115123125783e-17
13,0.0,2.7709088573651406,4.1881033935547665,-0.558547848844265,-1.5290869442701343,-0.6028072520624208,3.469446951953614e-17,-2.0122792321330962e-16,3.469446951953614e-17,1.3877787807814457e-17,-3.8163916471489756e-17,2.8102520310824275e-16,-1.8388068845354155e-16,-2.6020852139652106e-16,1.474514954580286e-16
13,1.0,-0.05269255231957361,1.8141920573471013,-0.9658996262920778,-0.4230792403460528,-1.0284257389383498,2.983724378680108e-16,-4.926614671774132e-16,1.1449174941446927e-16,3.157196726277789e-16,3.7903707950093235e-16,-2.415602440297704e-16,-1.734723475976807e-17,-1.7780915628762273e-16,-6.938893903907228e-17
16,1.0,0.6243642119290396,0.8122260477683244,0.23494692268084738,-0.04476600780324577,-1.045421725087574,2.8449465006019636e-16,-1.682681771697503e-16,2.5847379792054426e-16,1.0061396160665481e-16,-8.326672684688674e-17,1.457167719820518e-16,-1.2836953722228372e-16,-6.938893903907228e-17,1.0408340855860843e-16
16,0.0,0.898904053466962,-3.2421741628045684,-0.40385777287338964,-0.7300681454249596,0.2805418963968743,2.979929671076409e-16,2.2898349882893854e-16,-1.3183898417423734e-16,-1.0408340855860843e-17,2.6020852139652106e-16,-2.8796409701215e-16,2.229119666630197e-16,7.632783294297951e-17,-2.2898349882893854e-16
17,1.0,-1.845683555933669,-0.344427135042219,0.5572510654316797,0.5469624026601853,0.4397709063728723,2.0469737016526324e-16,1.196959198423997e-16,-1.1275702593849246e-16,1.726049858596923e-16,-1.700029006457271e-16,7.979727989493313e-17,-4.336808689942018e-17,-4.85722573273506e-17,1.8214596497756474e-16
17,0.0,-1.0796895583547086,-1.3021055829794537,-0.1293409321230981,0.6912924486053481,-0.893996606869264,2.658463726934457e-16,4.579669976578771e-16,-1.0581813203458523e-16,-2.489328188026718e-16,1.3183898417423734e-16,-2.2898349882893854e-16,2.3245294578089215e-16,1.0408340855860843e-16,-2.42861286636753e-16
18,1.0,-1.859027036038269,-1.7790311021377585,-0.30626489339898744,-0.4218714253889344,-0.062028913724108896,2.393918396847994e-16,1.5265566588595902e-16,-2.0816681711721685e-16,3.2959746043559335e-16,1.734723475976807e-18,3.9898639947466563e-17,2.6020852139652106e-17,-4.85722573273506e-17,-3.122502256758253e-17
18,0.0,-1.3228061117491239,2.7524643935187725,-0.18390086782389425,1.1505332972177849,0.1453844882634767,2.498001805406602e-16,7.997075224253081e-16,-9.020562075079397e-17,-4.163336342344337e-17,-2.7582103268031233e-16,1.2836953722228372e-16,0.0,5.551115123125783e-17,-1.0061396160665481e-16
19,1.0,-2.016409657068404,0.6789516222585403,0.29221065696564363,-0.05616356070228241,0.15156333754167356,6.245004513516506e-17,1.3877787807814457e-16,-2.4936649967166602e-18,-3.122502256758253e-17,-1.4051260155412137e-16,2.5673907444456745e-16,5.204170427930421e-17,1.231653667943533e-16,7.28583859910259e-17
19,0.0,3.567551603698655,-2.474244590833093,-0.19645729424865993,0.4514658674472935,1.1166585988733837,-2.237793284010081e-16,-1.97758476261356e-16,1.1102230246251565e-16,-3.469446951953614e-17,1.0408340855860843e-16,-1.0408340855860843e-16,3.2959746043559335e-17,-2.42861286636753e-17,4.163336342344337e-17
20,0.0,0.37605737600273575,-2.0921644428144393,-0.3402094463188559,-0.32731336216093093,0.9447267777192374,2.3245294578089215e-16,-1.474514954580286e-16,1.1709383462843448e-17,1.8388068845354155e-16,3.2439329000766293e-16,-3.0184188481996443e-16,2.914335439641036e-16,1.2576745200831851e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,0.9310403758259058,0.2253031854156725,-0.4849653902837925,0.058881795293742795,8.543513119185775e-17,6.280241084122284e-17,-4.336808689942018e-18,-4.391018798566293e-17,-1.6479873021779667e-16,6.136584296267955e-17,-3.122502256758253e-17,1.0408340855860843e-16,1.1796119636642288e-16
21,0.0,2.9048589899775985,-3.037263352141764,-0.9754942249697204,-0.18174033141447402,0.5842610531410523,-1.3877787807814457e-17,-3.364821442308763e-16,8.326672684688674e-17,-7.632783294297951e-17,4.36282954208167e-16,-2.185751579730777e-16,2.0816681711721685e-16,1.97758476261356e-16,-6.245004513516506e-17
21,1.0,5.132915249496049,1.9229813111070153,0.8014467084895001,1.00344418033113,-1.0956840385236188,1.0408340855860843e-16,-1.5092094240998222e-16,6.938893903907228e-17,-8.326672684688674e-17,-1.0408340855860843e-16,2.0469737016526324e-16,-8.673617379884035e-17,-2.7755575615628914e-16,-2.5326962749261384e-16
