,Coef
PCA_feature_2,-0.6540408398321782
PCA_feature_3,0.22015276507264414
PCA_feature_9,0.769687132825515
PCA_feature_13,-1.3986197067139177
PCA_feature_14,-1.280151212904304
PCA_feature_129,4.771109760252581e-15
PCA_feature_136,3.452248135547786e-15
PCA_feature_137,2.944279041032724e-15
PCA_feature_138,-2.8639112889199467e-15
PCA_feature_148,-1.5342548812298873e-15
PCA_feature_149,-2.7372789123925916e-16
PCA_feature_150,-4.514537399763439e-15
PCA_feature_161,2.375162862960769e-16
PCA_feature_163,-9.810497714218453e-16
PCA_feature_167,-5.465445217815281e-16
