,Coef
PCA_feature_2,-1.211651146014578
PCA_feature_3,-0.21582353373892718
PCA_feature_9,0.7338809941841337
PCA_feature_13,-2.721100207474358
PCA_feature_14,-2.6197469530132227
PCA_feature_129,-500226391282279.56
PCA_feature_136,-123239318045122.02
PCA_feature_137,2819407483191877.5
PCA_feature_138,-2758414978689205.5
PCA_feature_148,-2884921485391373.5
PCA_feature_149,-2185025982588138.8
PCA_feature_150,-1.1924411169582694e+16
PCA_feature_161,4473151734009547.5
PCA_feature_163,-2876733284721106.5
PCA_feature_165,-173979200550737.72
PCA_feature_167,-943062209541129.6
