,Coef
PCA_feature_2,-0.942092557919645
PCA_feature_3,0.29670542551396484
PCA_feature_9,1.1223797675293212
PCA_feature_13,-1.5049323350533834
PCA_feature_14,-2.1103530612190777
PCA_feature_129,1.7015900869435727e-15
PCA_feature_136,1.0092892213703843e-15
PCA_feature_137,-9.254209458208491e-17
PCA_feature_138,-1.3656822142962202e-15
PCA_feature_142,-4.164698533670845e-16
PCA_feature_146,-8.446189087446774e-16
PCA_feature_147,-2.614448272491329e-16
PCA_feature_148,-6.51843970985508e-16
PCA_feature_149,-1.1733958084109937e-16
PCA_feature_150,-1.8051406425125017e-15
PCA_feature_161,2.6149898777451343e-16
PCA_feature_163,-2.281003381522249e-16
PCA_feature_164,2.2065546535575292e-16
PCA_feature_165,6.296425328058621e-16
PCA_feature_167,-1.5428466020952734e-16
