,label,PCA_feature_2,PCA_feature_129,PCA_feature_167
1,1.0,-4.6052184687565125,2.2724877535296173e-16,2.5673907444456745e-16
2,1.0,-4.480450374651669,6.175615574477433e-16,1.457167719820518e-16
2,0.0,0.9626202212005489,2.5673907444456745e-16,-3.8163916471489756e-17
3,0.0,0.7149419220625326,8.500145032286355e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-2.8449465006019636e-16,-7.632783294297951e-17
5,0.0,1.62718882318057,-1.1102230246251565e-16,-2.7755575615628914e-17
5,1.0,-1.5942384344162133,1.0755285551056204e-16,-1.474514954580286e-17
7,0.0,0.23115796550844425,-6.938893903907228e-17,-9.71445146547012e-17
7,1.0,-0.7789744119904478,2.237793284010081e-16,5.551115123125783e-17
8,1.0,-0.20380204211282232,2.3765711620882257e-16,-1.3877787807814457e-17
9,0.0,5.544455236248869,-2.983724378680108e-16,-6.245004513516506e-17
10,1.0,1.2447264568798149,-5.828670879282072e-16,-1.8041124150158794e-16
11,1.0,0.1809925109640407,1.6653345369377348e-16,-2.42861286636753e-17
11,0.0,4.183979238323507,2.1510571102112408e-16,-4.510281037539698e-16
12,1.0,1.8731441696749336,2.0816681711721685e-17,-5.551115123125783e-17
13,0.0,2.7709088573651406,3.469446951953614e-17,1.474514954580286e-16
13,1.0,-0.05269255231957361,2.983724378680108e-16,-6.938893903907228e-17
16,1.0,0.6243642119290396,2.8449465006019636e-16,1.0408340855860843e-16
16,0.0,0.898904053466962,2.979929671076409e-16,-2.2898349882893854e-16
17,1.0,-1.845683555933669,2.0469737016526324e-16,1.8214596497756474e-16
17,0.0,-1.0796895583547086,2.658463726934457e-16,-2.42861286636753e-16
18,1.0,-1.859027036038269,2.393918396847994e-16,-3.122502256758253e-17
18,0.0,-1.3228061117491239,2.498001805406602e-16,-1.0061396160665481e-16
19,1.0,-2.016409657068404,6.245004513516506e-17,7.28583859910259e-17
19,0.0,3.567551603698655,-2.237793284010081e-16,4.163336342344337e-17
20,0.0,0.37605737600273575,2.3245294578089215e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,8.543513119185775e-17,1.1796119636642288e-16
21,0.0,2.9048589899775985,-1.3877787807814457e-17,-6.245004513516506e-17
21,1.0,5.132915249496049,1.0408340855860843e-16,-2.5326962749261384e-16
22,0.0,5.312152024223375,-7.73686670285656e-16,-3.469446951953614e-16
22,1.0,-1.2963227755230022,2.636779683484747e-16,7.28583859910259e-17
23,1.0,-2.575769421154228,2.3245294578089215e-16,1.734723475976807e-16
23,0.0,-0.3631990493643875,1.249000902703301e-16,9.8879238130678e-17
24,0.0,4.512703036674612,8.500145032286355e-17,-1.5265566588595902e-16
24,1.0,-2.643113964971724,3.469446951953614e-18,2.7755575615628914e-16
25,0.0,0.3318777704552622,-1.8735013540549517e-16,-1.0755285551056204e-16
27,0.0,2.408488163976055,-1.0408340855860843e-16,1.5612511283791264e-17
27,1.0,-2.3786835997246696,1.8323016715005025e-16,-2.393918396847994e-16
