,F,P
PCA_feature_1,1.5942180800886487,0.2067245215638861
PCA_feature_2,54.02976815724698,1.9747503085587332e-13
PCA_feature_3,9.804184927528121,0.001741151889763199
PCA_feature_4,0.1152249141620158,0.7342722978303979
PCA_feature_5,5.246268152565635,0.02199389192146008
PCA_feature_6,0.13309942137920863,0.7152398519203931
PCA_feature_7,0.8060258325036366,0.3692978292334318
PCA_feature_8,3.4207205469298807,0.06438290624469997
PCA_feature_9,10.144851959263363,0.0014470478448956057
PCA_feature_10,5.363193408900063,0.020566080577862987
PCA_feature_11,4.903288924565266,0.026805596251282076
PCA_feature_12,0.02617679319683969,0.8714693076928356
PCA_feature_13,15.499864342640926,8.251117524653668e-05
PCA_feature_14,14.516781797638998,0.0001389165076927217
PCA_feature_15,2.357582032725725,0.12467530188516972
PCA_feature_16,4.639969103773163,0.031235564812997416
PCA_feature_17,0.9118280087003199,0.33962985903680554
PCA_feature_18,0.009671650109354687,0.921658705462838
PCA_feature_19,1.741672916122779,0.18692699674841134
PCA_feature_20,4.517826437959388,0.033543420215670576
PCA_feature_21,1.6835350254061703,0.19445539225981237
PCA_feature_22,0.2544318276939972,0.6139716350875424
PCA_feature_23,0.6391203817955792,0.4240294992279302
PCA_feature_24,0.4270807344416763,0.513424875007084
PCA_feature_25,3.4914656894676055,0.06168594739661969
PCA_feature_26,1.204841550271919,0.27235615128864565
PCA_feature_27,3.327515012707499,0.06812973834418637
PCA_feature_28,0.355713241917969,0.5508966842117307
PCA_feature_29,3.444217508002795,0.06347347083536342
PCA_feature_30,0.3047041952230407,0.5809482321166894
PCA_feature_31,0.712097339267911,0.3987484241594357
PCA_feature_32,0.0036331818758704266,0.951935910883454
PCA_feature_33,0.766643935027523,0.3812572844161588
PCA_feature_34,1.49951649946331,0.22074577135955423
PCA_feature_35,1.54649394455967,0.21365377686331286
PCA_feature_36,0.9859724154945904,0.32072874767134135
PCA_feature_37,0.006290071143049534,0.936786077364711
PCA_feature_38,1.9219337537842855,0.1656436411694515
PCA_feature_39,0.30821348600897236,0.5787785362979603
PCA_feature_40,0.047915306578244166,0.8267313333396888
PCA_feature_41,0.6340620743003949,0.4258692215379275
PCA_feature_42,1.3778050820102696,0.2404753757687205
PCA_feature_43,0.11308066919892595,0.7366637318672544
PCA_feature_44,2.2516341228178973,0.13347338732202155
