,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.6795
balance_train_Cutoff,0.5072
balance_train_Acc,0.7917
balance_train_MCC,0.5904
balance_train_Sen,0.8690
balance_train_Spe,0.7143
balance_train_PPV,0.7526
balance_train_NPV,0.8451
balance_train_Youden Index,0.5833
balance_train_AUC,0.7654
balance_train_95% CIs,[0.6882-0.8427]
balance_train_Std,0.0394
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.4992
train_Cutoff,0.5072
train_Acc,0.7480
train_MCC,0.5012
train_Sen,0.8140
train_Spe,0.7143
train_PPV,0.5932
train_NPV,0.8824
train_Youden Index,0.5282
train_AUC,0.7384
train_95% CIs,[0.6448-0.8320]
train_Std,0.0478
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5069
test_Cutoff,0.5120
test_Acc,0.7091
test_MCC,0.4119
test_Sen,0.7368
test_Spe,0.6944
test_PPV,0.5600
test_NPV,0.8333
test_Youden Index,0.4313
test_AUC,0.7105
test_95% CIs,[0.5711-0.8500]
test_Std,0.0711
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7586
cv_train_Cutoff,0.4906
cv_train_Acc,0.7679
cv_train_MCC,0.5399
cv_train_Sen,0.8304
cv_train_Spe,0.7054
cv_train_PPV,0.7381
cv_train_NPV,0.8061
cv_train_Youden Index,0.5357
cv_train_AUC,0.8208
cv_train_95% CIs,[0.7887-0.8530]
cv_train_Std,0.0164
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5945
cv_val_Cutoff,0.4985
cv_val_Acc,0.7874
cv_val_MCC,0.5710
cv_val_Sen,0.8372
cv_val_Spe,0.7619
cv_val_PPV,0.6429
cv_val_NPV,0.9014
cv_val_Youden Index,0.5991
cv_val_AUC,0.8239
cv_val_95% CIs,[0.7508-0.8970]
cv_val_Std,0.0373
