,label,PCA_feature_2,PCA_feature_10,PCA_feature_13,PCA_feature_14,PCA_feature_20,PCA_feature_129,PCA_feature_148,PCA_feature_150,PCA_feature_160,PCA_feature_167
1,1.0,-4.6052184687565125,-0.8498366100661547,0.2643551752775043,0.1269469915651668,0.4113485762129781,2.2724877535296173e-16,-1.0755285551056204e-16,-3.625572064791527e-16,1.1796119636642288e-16,2.5673907444456745e-16
1,1.0,-4.6052184687565125,-0.8498366100661547,0.2643551752775043,0.1269469915651668,0.4113485762129781,2.2724877535296173e-16,-1.0755285551056204e-16,-3.625572064791527e-16,1.1796119636642288e-16,2.5673907444456745e-16
1,1.0,-4.6052184687565125,-0.8498366100661547,0.2643551752775043,0.1269469915651668,0.4113485762129781,2.2724877535296173e-16,-1.0755285551056204e-16,-3.625572064791527e-16,1.1796119636642288e-16,2.5673907444456745e-16
2,0.0,0.9626202212005489,0.2796498460354071,-1.064808321829548,0.2204641127157782,0.9297961308595097,2.5673907444456745e-16,1.2880321809127793e-16,-3.469446951953614e-17,6.245004513516506e-17,-3.8163916471489756e-17
2,1.0,-4.480450374651669,1.0900547678383576,-0.6638556321671852,1.0373864969131075,-0.18095525999528883,6.175615574477433e-16,-2.0469737016526324e-16,-1.214306433183765e-16,-5.551115123125783e-17,1.457167719820518e-16
2,1.0,-4.480450374651669,1.0900547678383576,-0.6638556321671852,1.0373864969131075,-0.18095525999528883,6.175615574477433e-16,-2.0469737016526324e-16,-1.214306433183765e-16,-5.551115123125783e-17,1.457167719820518e-16
2,1.0,-4.480450374651669,1.0900547678383576,-0.6638556321671852,1.0373864969131075,-0.18095525999528883,6.175615574477433e-16,-2.0469737016526324e-16,-1.214306433183765e-16,-5.551115123125783e-17,1.457167719820518e-16
3,0.0,0.7149419220625326,0.5402070590768442,-0.5047553204565768,0.03443521924832517,0.061726406378213944,8.500145032286355e-17,3.2612801348363973e-16,2.47198095326695e-16,-7.28583859910259e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-0.13124717795682556,-0.05542168526297024,-0.2581477638742542,-0.18996333592512724,-2.8449465006019636e-16,1.6653345369377348e-16,1.6393136847980827e-16,-1.734723475976807e-17,-7.632783294297951e-17
5,0.0,1.62718882318057,-0.946172102230329,0.5203234808654291,-0.32482304167132686,-1.1734823648715267,-1.1102230246251565e-16,4.510281037539698e-16,2.8362728832220796e-16,1.0234868508263162e-16,-2.7755575615628914e-17
5,1.0,-1.594238434416213,-0.6799173718014545,-0.5657961172682708,-0.25395758507522903,-0.17206137100172925,7.979727989493313e-17,9.194034422677078e-17,4.5102810375396984e-17,7.979727989493313e-17,-1.474514954580286e-17
7,1.0,-0.7789744119904478,-0.889444782798545,-0.3988861509071059,-0.12053300486379842,0.5444066607351922,2.237793284010081e-16,-5.984795992119984e-17,1.3877787807814457e-17,-1.4333152720258369e-16,5.551115123125783e-17
7,1.0,-0.7789744119904478,-0.889444782798545,-0.3988861509071059,-0.12053300486379842,0.5444066607351922,2.237793284010081e-16,-5.984795992119984e-17,1.3877787807814457e-17,-1.4333152720258369e-16,5.551115123125783e-17
7,1.0,-0.7789744119904478,-0.889444782798545,-0.3988861509071059,-0.12053300486379842,0.5444066607351922,2.237793284010081e-16,-5.984795992119984e-17,1.3877787807814457e-17,-1.4333152720258369e-16,5.551115123125783e-17
7,0.0,0.23115796550844425,-1.1118167529741407,-0.32969183995046103,0.10165218168653914,-0.15019734481516342,-6.938893903907228e-17,2.255140518769849e-16,2.636779683484747e-16,2.7755575615628914e-17,-9.71445146547012e-17
8,1.0,-0.20380204211282232,-0.7693169334221892,-0.6445650674544503,-0.2196555971641439,0.516824369768467,2.3765711620882257e-16,6.158268339717665e-17,9.367506770274758e-17,2.6020852139652106e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,-0.9515344118954309,-0.8780061342401277,0.5715417050811012,-0.07386591942252528,-2.740863092043355e-16,-2.7755575615628914e-17,-3.2959746043559335e-17,2.0274580625478933e-17,-6.245004513516506e-17
10,1.0,1.2447264568798149,-1.8051729786243098,1.6240195606379204,-0.9341690556370712,-0.5082196761155867,-5.828670879282072e-16,1.5265566588595902e-16,-2.220446049250313e-16,2.7755575615628914e-16,-1.8041124150158794e-16
10,1.0,1.2447264568798149,-1.8051729786243103,1.6240195606379204,-0.9341690556370712,-0.5082196761155865,-5.273559366969494e-16,1.6653345369377348e-16,-2.2898349882893854e-16,3.400058012914542e-16,-1.8041124150158794e-16
11,0.0,4.183979238323506,0.4538777896465598,-0.29233234871035424,1.2014479231570354,-0.18343733882701657,1.6653345369377348e-16,-2.5673907444456745e-16,-5.204170427930421e-18,-4.85722573273506e-17,-4.510281037539698e-16
11,1.0,0.1809925109640407,1.2329626975138992,-0.6794359202675878,-0.49457639969069683,-0.016469346250358622,1.6653345369377348e-16,2.5847379792054426e-16,1.1882855810441129e-16,-5.898059818321144e-17,-2.42861286636753e-17
11,1.0,0.1809925109640407,1.2329626975138992,-0.6794359202675878,-0.49457639969069683,-0.016469346250358622,1.6653345369377348e-16,2.5847379792054426e-16,1.1882855810441129e-16,-5.898059818321144e-17,-2.42861286636753e-17
12,1.0,1.8731441696749336,-1.4543359161629772,0.5187670301651326,-0.358218241225184,-0.42122038533521505,2.0816681711721685e-17,2.5673907444456745e-16,1.214306433183765e-17,1.0408340855860843e-16,-5.551115123125783e-17
13,1.0,-0.05269255231957361,-0.1576968938725828,-0.4230792403460528,-1.0284257389383498,0.8420878384560325,2.983724378680108e-16,3.7903707950093235e-16,-1.734723475976807e-17,2.220446049250313e-16,-6.938893903907228e-17
13,1.0,-0.05269255231957361,-0.1576968938725828,-0.4230792403460528,-1.0284257389383498,0.8420878384560325,2.983724378680108e-16,3.7903707950093235e-16,-1.734723475976807e-17,2.220446049250313e-16,-6.938893903907228e-17
13,0.0,2.7709088573651406,1.0228828892967339,-1.5290869442701343,-0.6028072520624208,1.1667385054188177,3.469446951953614e-17,-3.8163916471489756e-17,-1.8388068845354155e-16,-1.97758476261356e-16,1.474514954580286e-16
16,1.0,0.6243642119290396,0.6410299209980173,-0.04476600780324577,-1.045421725087574,-0.06907628336642387,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,1.3183898417423734e-16,1.0408340855860843e-16
16,1.0,0.6243642119290396,0.6410299209980173,-0.04476600780324577,-1.045421725087574,-0.06907628336642387,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,1.3183898417423734e-16,1.0408340855860843e-16
16,1.0,0.6243642119290396,0.6410299209980173,-0.04476600780324577,-1.045421725087574,-0.06907628336642387,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,1.3183898417423734e-16,1.0408340855860843e-16
16,0.0,0.898904053466962,-1.3162205339330184,-0.7300681454249596,0.2805418963968743,-0.34603738542542994,2.979929671076409e-16,2.6020852139652106e-16,2.229119666630197e-16,9.454242944073599e-17,-2.2898349882893854e-16
16,1.0,0.6243642119290396,0.6410299209980173,-0.04476600780324577,-1.045421725087574,-0.06907628336642387,2.8449465006019636e-16,-8.326672684688674e-17,-1.2836953722228372e-16,1.3183898417423734e-16,1.0408340855860843e-16
17,1.0,-1.845683555933669,0.5108495328511077,0.5469624026601853,0.4397709063728723,0.010838712972268152,2.0469737016526324e-16,-1.700029006457271e-16,-4.336808689942018e-17,-9.367506770274758e-17,1.8214596497756474e-16
17,0.0,-1.0796895583547093,0.8892044424669651,0.6912924486053481,-0.893996606869264,0.12859558780493158,2.1510571102112408e-16,9.71445146547012e-17,2.185751579730777e-16,-1.4224732503009818e-16,-2.42861286636753e-16
18,0.0,-1.3228061117491239,1.7425082381119381,1.1505332972177849,0.1453844882634767,0.13733214760311405,2.498001805406602e-16,-2.7582103268031233e-16,0.0,-4.926614671774132e-16,-1.0061396160665481e-16
18,1.0,-1.8590270360382681,0.14640159506338446,-0.4218714253889344,-0.062028913724108896,0.0007460720043835842,1.6306400674181987e-16,-8.673617379884035e-18,6.5052130349130266e-18,9.020562075079397e-17,-3.122502256758253e-17
19,1.0,-2.016409657068404,-0.06031719580777377,-0.05616356070228241,0.15156333754167356,0.15681157332809212,6.245004513516506e-17,-1.4051260155412137e-16,5.204170427930421e-17,-1.0755285551056204e-16,7.28583859910259e-17
19,0.0,3.567551603698655,-0.7658231463152272,0.4514658674472935,1.1166585988733837,0.32451357354925503,-2.237793284010081e-16,1.0408340855860843e-16,3.2959746043559335e-17,2.0816681711721685e-17,4.163336342344337e-17
19,1.0,-2.016409657068404,-0.060317195807773775,-0.05616356070228241,0.15156333754167356,0.156811573328092,0.0,-1.5785983631388945e-16,1.0408340855860843e-17,-7.632783294297951e-17,7.28583859910259e-17
20,0.0,0.37605737600273575,-0.7121431888388773,-0.32731336216093093,0.9447267777192374,-0.3560789856877965,2.3245294578089215e-16,3.2439329000766293e-16,2.914335439641036e-16,-1.43982048506075e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,-0.1622780588155388,-0.4849653902837925,0.058881795293742795,-0.1783860850409198,8.543513119185775e-17,-1.6479873021779667e-16,-3.122502256758253e-17,4.85722573273506e-17,1.1796119636642288e-16
20,1.0,-0.5680045537097216,-0.1622780588155388,-0.4849653902837925,0.058881795293742795,-0.1783860850409198,8.543513119185775e-17,-1.6479873021779667e-16,-3.122502256758253e-17,4.85722573273506e-17,1.1796119636642288e-16
21,0.0,2.9048589899775985,-1.6942565990162934,-0.18174033141447402,0.5842610531410523,0.11309037826567467,-9.020562075079397e-17,4.9439619065339e-16,8.326672684688674e-17,1.700029006457271e-16,-6.245004513516506e-17
21,1.0,5.132915249496049,-0.8633236903208307,1.00344418033113,-1.0956840385236188,-0.19277315841282278,1.0408340855860843e-16,-1.0408340855860843e-16,-8.673617379884035e-17,1.1796119636642288e-16,-2.5326962749261384e-16
21,1.0,5.132915249496049,-0.8633236903208307,1.00344418033113,-1.0956840385236188,-0.19277315841282278,1.0408340855860843e-16,-1.0408340855860843e-16,-8.673617379884035e-17,1.1796119636642288e-16,-2.5326962749261384e-16
22,1.0,-1.2963227755230022,-0.1641788314101048,-0.3116541910798907,0.17806520582675378,0.039528568595267086,2.636779683484747e-16,-3.677613769070831e-16,-8.326672684688674e-17,-7.28583859910259e-17,7.28583859910259e-17
22,0.0,5.312152024223375,-0.12459624324624208,-0.3511761513312318,0.27623182984816314,0.5294002448178042,-7.73686670285656e-16,5.898059818321144e-17,-1.2923689896027213e-16,-3.677613769070831e-16,-3.469446951953614e-16
22,1.0,-1.2963227755230022,-0.1641788314101048,-0.3116541910798907,0.17806520582675378,0.039528568595267086,2.636779683484747e-16,-3.677613769070831e-16,-8.326672684688674e-17,-7.28583859910259e-17,7.28583859910259e-17
