,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9730
balance_train_Cutoff,0.7477
balance_train_Acc,0.9464
balance_train_MCC,0.8934
balance_train_Sen,0.9286
balance_train_Spe,0.9643
balance_train_PPV,0.9630
balance_train_NPV,0.9310
balance_train_Youden Index,0.8929
balance_train_AUC,0.9782
balance_train_95% CIs,[0.9573-0.9991]
balance_train_Std,0.0107
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9479
train_Cutoff,0.4549
train_Acc,0.9370
train_MCC,0.8685
train_Sen,0.9767
train_Spe,0.9167
train_PPV,0.8571
train_NPV,0.9872
train_Youden Index,0.8934
train_AUC,0.9773
train_95% CIs,[0.9547-0.9998]
train_Std,0.0115
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5289
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4839
test_95% CIs,[0.3442-0.6237]
test_Std,0.0713
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9822
cv_train_Cutoff,0.5484
cv_train_Acc,0.9420
cv_train_MCC,0.8840
cv_train_Sen,0.9494
cv_train_Spe,0.9345
cv_train_PPV,0.9355
cv_train_NPV,0.9486
cv_train_Youden Index,0.8839
cv_train_AUC,0.9843
cv_train_95% CIs,[0.9767-0.9919]
cv_train_Std,0.0039
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4738
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4769
cv_val_95% CIs,[0.3845-0.5692]
cv_val_Std,0.0471
