,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9748
balance_train_Cutoff,0.5047
balance_train_Acc,0.9583
balance_train_MCC,0.9183
balance_train_Sen,0.9881
balance_train_Spe,0.9286
balance_train_PPV,0.9326
balance_train_NPV,0.9873
balance_train_Youden Index,0.9167
balance_train_AUC,0.9800
balance_train_95% CIs,[0.9604-0.9996]
balance_train_Std,0.0100
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9478
train_Cutoff,0.5047
train_Acc,0.9449
train_MCC,0.8836
train_Sen,0.9767
train_Spe,0.9286
train_PPV,0.8750
train_NPV,0.9873
train_Youden Index,0.9053
train_AUC,0.9779
train_95% CIs,[0.9565-0.9992]
train_Std,0.0109
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.9445
test_Cutoff,0.6235
test_Acc,0.9273
test_MCC,0.8429
test_Sen,0.7895
test_Spe,1.0000
test_PPV,1.0000
test_NPV,0.9000
test_Youden Index,0.7895
test_AUC,0.9635
test_95% CIs,[0.9216-1.0000]
test_Std,0.0213
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9929
cv_train_Cutoff,0.5414
cv_train_Acc,0.9836
cv_train_MCC,0.9676
cv_train_Sen,0.9970
cv_train_Spe,0.9702
cv_train_PPV,0.9710
cv_train_NPV,0.9969
cv_train_Youden Index,0.9673
cv_train_AUC,0.9947
cv_train_95% CIs,[0.9898-0.9996]
cv_train_Std,0.0025
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8068
cv_val_Cutoff,0.5047
cv_val_Acc,0.8661
cv_val_MCC,0.6945
cv_val_Sen,0.7209
cv_val_Spe,0.9405
cv_val_PPV,0.8611
cv_val_NPV,0.8681
cv_val_Youden Index,0.6614
cv_val_AUC,0.8559
cv_val_95% CIs,[0.7747-0.9371]
cv_val_Std,0.0414
