,rank
PCA_feature_1,19
PCA_feature_2,1
PCA_feature_3,6
PCA_feature_4,19
PCA_feature_5,4
PCA_feature_6,11
PCA_feature_7,6
PCA_feature_8,4
PCA_feature_9,3
PCA_feature_10,1
PCA_feature_11,1
PCA_feature_12,13
PCA_feature_13,1
PCA_feature_14,1
PCA_feature_15,19
PCA_feature_16,3
PCA_feature_17,3
PCA_feature_18,21
PCA_feature_19,6
PCA_feature_20,1
PCA_feature_21,10
PCA_feature_22,19
PCA_feature_23,14
PCA_feature_24,17
PCA_feature_25,2
PCA_feature_26,3
PCA_feature_27,4
PCA_feature_28,20
PCA_feature_29,5
PCA_feature_30,10
PCA_feature_31,13
PCA_feature_32,9
PCA_feature_33,1
PCA_feature_34,12
PCA_feature_35,11
PCA_feature_36,7
PCA_feature_37,4
PCA_feature_38,7
PCA_feature_39,14
PCA_feature_40,9
PCA_feature_41,6
PCA_feature_42,7
PCA_feature_43,5
PCA_feature_44,9
PCA_feature_45,14
PCA_feature_46,4
PCA_feature_47,6
PCA_feature_48,17
PCA_feature_49,3
PCA_feature_50,15
PCA_feature_51,9
PCA_feature_52,14
PCA_feature_53,17
PCA_feature_54,18
PCA_feature_55,7
PCA_feature_56,12
PCA_feature_57,13
PCA_feature_58,20
PCA_feature_59,8
PCA_feature_60,3
PCA_feature_61,11
PCA_feature_62,8
PCA_feature_63,12
PCA_feature_64,12
PCA_feature_65,15
PCA_feature_66,10
PCA_feature_67,10
PCA_feature_68,20
PCA_feature_69,12
PCA_feature_70,12
PCA_feature_71,12
PCA_feature_72,16
PCA_feature_73,14
PCA_feature_74,15
PCA_feature_75,4
PCA_feature_76,10
PCA_feature_77,6
PCA_feature_78,7
PCA_feature_79,9
PCA_feature_80,8
PCA_feature_81,9
PCA_feature_82,21
PCA_feature_83,5
PCA_feature_84,17
PCA_feature_85,7
PCA_feature_86,9
PCA_feature_87,15
PCA_feature_88,21
PCA_feature_89,10
PCA_feature_90,16
PCA_feature_91,16
PCA_feature_92,19
PCA_feature_93,20
PCA_feature_94,13
PCA_feature_95,16
PCA_feature_96,21
PCA_feature_97,16
PCA_feature_98,13
PCA_feature_99,13
PCA_feature_100,15
PCA_feature_101,13
PCA_feature_102,20
PCA_feature_103,12
PCA_feature_104,6
PCA_feature_105,15
PCA_feature_106,17
PCA_feature_107,16
PCA_feature_108,11
PCA_feature_109,17
PCA_feature_110,18
PCA_feature_111,7
PCA_feature_112,17
PCA_feature_113,21
PCA_feature_114,18
PCA_feature_115,20
PCA_feature_116,14
PCA_feature_117,19
PCA_feature_118,18
PCA_feature_119,16
PCA_feature_120,19
PCA_feature_121,14
PCA_feature_122,11
PCA_feature_123,10
PCA_feature_124,21
PCA_feature_125,13
PCA_feature_126,19
PCA_feature_127,15
PCA_feature_128,11
PCA_feature_129,1
PCA_feature_130,11
PCA_feature_131,21
PCA_feature_132,15
PCA_feature_133,14
PCA_feature_134,18
PCA_feature_135,10
PCA_feature_136,3
PCA_feature_137,6
PCA_feature_138,3
PCA_feature_139,21
PCA_feature_140,18
PCA_feature_141,5
PCA_feature_142,5
PCA_feature_143,8
PCA_feature_144,20
PCA_feature_145,16
PCA_feature_146,9
PCA_feature_147,1
PCA_feature_148,1
PCA_feature_149,8
PCA_feature_150,1
PCA_feature_151,17
PCA_feature_152,7
PCA_feature_153,18
PCA_feature_154,20
PCA_feature_155,5
PCA_feature_156,11
PCA_feature_157,8
PCA_feature_158,18
PCA_feature_159,1
PCA_feature_160,1
PCA_feature_161,1
PCA_feature_162,8
PCA_feature_163,5
PCA_feature_164,4
PCA_feature_165,8
PCA_feature_166,4
PCA_feature_167,1
PCA_feature_168,5
