,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9307
balance_train_Cutoff,0.6525
balance_train_Acc,0.9107
balance_train_MCC,0.8220
balance_train_Sen,0.8929
balance_train_Spe,0.9286
balance_train_PPV,0.9259
balance_train_NPV,0.8966
balance_train_Youden Index,0.8214
balance_train_AUC,0.9352
balance_train_95% CIs,[0.8958-0.9747]
balance_train_Std,0.0201
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8700
train_Cutoff,0.5895
train_Acc,0.9055
train_MCC,0.7919
train_Sen,0.8837
train_Spe,0.9167
train_PPV,0.8444
train_NPV,0.9390
train_Youden Index,0.8004
train_AUC,0.9277
train_95% CIs,[0.8778-0.9777]
train_Std,0.0255
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8596
test_Cutoff,0.3862
test_Acc,0.9091
test_MCC,0.8257
test_Sen,1.0000
test_Spe,0.8611
test_PPV,0.7917
test_NPV,1.0000
test_Youden Index,0.8611
test_AUC,0.9386
test_95% CIs,[0.8772-1.0000]
test_Std,0.0313
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9629
cv_train_Cutoff,0.5696
cv_train_Acc,0.9554
cv_train_MCC,0.9108
cv_train_Sen,0.9613
cv_train_Spe,0.9494
cv_train_PPV,0.9500
cv_train_NPV,0.9608
cv_train_Youden Index,0.9107
cv_train_AUC,0.9736
cv_train_95% CIs,[0.9611-0.9862]
cv_train_Std,0.0064
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7843
cv_val_Cutoff,0.4852
cv_val_Acc,0.8740
cv_val_MCC,0.7267
cv_val_Sen,0.8605
cv_val_Spe,0.8810
cv_val_PPV,0.7872
cv_val_NPV,0.9250
cv_val_Youden Index,0.7414
cv_val_AUC,0.8904
cv_val_95% CIs,[0.8269-0.9539]
cv_val_Std,0.0324
