,Coef
PCA_feature_2,-1.0224609473226831
PCA_feature_10,-1.8577794990482939
PCA_feature_11,-1.545959228698391
PCA_feature_13,-2.5046008410903204
PCA_feature_14,-2.8865026437183703
PCA_feature_16,1.3020341589552038
PCA_feature_20,-4.075723228651051
PCA_feature_25,1.546603803549633
PCA_feature_33,-2.5997792480338093
PCA_feature_129,4118570738461867.5
PCA_feature_147,-1103345858997506.5
PCA_feature_148,-4225838660461273.5
PCA_feature_150,-1.0603182165937166e+16
PCA_feature_159,5870939225749260.0
PCA_feature_160,5049801083385634.0
PCA_feature_161,3672460102231260.0
PCA_feature_167,3445314226723121.5
