,Coef
PCA_feature_2,-0.8943723848432263
PCA_feature_10,-0.8110353144810584
PCA_feature_11,-1.056721331075284
PCA_feature_13,-1.6847164993074737
PCA_feature_14,-2.094415872672374
PCA_feature_16,0.7259543517432709
PCA_feature_20,-1.7132212473613126
PCA_feature_25,1.032495908018327
PCA_feature_33,-1.3299469312663736
PCA_feature_129,7.803174719374418e-15
PCA_feature_147,-3.0850089577746437e-15
PCA_feature_148,-3.446907486863516e-15
PCA_feature_150,-4.829341155970248e-15
PCA_feature_159,-6.502686753460708e-16
PCA_feature_160,1.5530127999437781e-15
PCA_feature_161,2.5857029210668443e-16
PCA_feature_167,7.464976534374413e-16
