,label,PCA_feature_2,PCA_feature_10,PCA_feature_11,PCA_feature_13,PCA_feature_14,PCA_feature_16,PCA_feature_20,PCA_feature_25,PCA_feature_33,PCA_feature_129,PCA_feature_147,PCA_feature_148,PCA_feature_150,PCA_feature_159,PCA_feature_160,PCA_feature_161,PCA_feature_167
1,1.0,-4.6052184687565125,-0.8498366100661547,-0.28826296747100194,0.2643551752775043,0.1269469915651668,-0.3867321600293256,0.4113485762129781,0.4637580048527461,0.11905798272422044,2.2724877535296173e-16,6.635317295611287e-17,-1.0755285551056204e-16,-3.625572064791527e-16,-1.6132928326584306e-16,1.1796119636642288e-16,-1.691355389077387e-17,2.5673907444456745e-16
1,1.0,-4.6052184687565125,-0.8498366100661547,-0.28826296747100194,0.2643551752775043,0.1269469915651668,-0.3867321600293256,0.4113485762129781,0.4637580048527461,0.11905798272422044,2.2724877535296173e-16,6.635317295611287e-17,-1.0755285551056204e-16,-3.625572064791527e-16,-1.6132928326584306e-16,1.1796119636642288e-16,-1.691355389077387e-17,2.5673907444456745e-16
1,1.0,-4.6052184687565125,-0.8498366100661547,-0.28826296747100194,0.2643551752775043,0.1269469915651668,-0.3867321600293256,0.4113485762129781,0.4637580048527461,0.11905798272422044,2.2724877535296173e-16,6.635317295611287e-17,-1.0755285551056204e-16,-3.625572064791527e-16,-1.6132928326584306e-16,1.1796119636642288e-16,-1.691355389077387e-17,2.5673907444456745e-16
2,0.0,0.9626202212005489,0.2796498460354071,0.18615013148581477,-1.064808321829548,0.2204641127157782,0.36638046983915434,0.9297961308595097,0.46224131003571217,0.1512795693096644,2.5673907444456745e-16,-3.226585665316861e-16,1.2880321809127793e-16,-3.469446951953614e-17,-2.2768245622195593e-16,6.245004513516506e-17,9.71445146547012e-17,-3.8163916471489756e-17
2,1.0,-4.480450374651669,1.0900547678383576,1.5105111384613095,-0.6638556321671852,1.0373864969131075,-0.13681559100555368,-0.18095525999528883,-0.13343222629491927,-0.06816786491815552,6.175615574477433e-16,-3.5388358909926865e-16,-2.0469737016526324e-16,-1.214306433183765e-16,2.42861286636753e-17,-5.551115123125783e-17,1.457167719820518e-16,1.457167719820518e-16
2,1.0,-4.480450374651669,1.0900547678383576,1.5105111384613095,-0.6638556321671852,1.0373864969131075,-0.13681559100555368,-0.18095525999528883,-0.13343222629491927,-0.06816786491815552,6.175615574477433e-16,-3.5388358909926865e-16,-2.0469737016526324e-16,-1.214306433183765e-16,2.42861286636753e-17,-5.551115123125783e-17,1.457167719820518e-16,1.457167719820518e-16
2,1.0,-4.480450374651669,1.0900547678383576,1.5105111384613095,-0.6638556321671852,1.0373864969131075,-0.13681559100555368,-0.18095525999528883,-0.13343222629491927,-0.06816786491815552,6.175615574477433e-16,-3.5388358909926865e-16,-2.0469737016526324e-16,-1.214306433183765e-16,2.42861286636753e-17,-5.551115123125783e-17,1.457167719820518e-16,1.457167719820518e-16
3,0.0,0.7149419220625326,0.5402070590768442,-0.33379233346953585,-0.5047553204565768,0.03443521924832517,-0.45204208434643944,0.061726406378213944,0.1933991086482832,0.46376883357835313,8.500145032286355e-17,2.0643209364124004e-16,3.2612801348363973e-16,2.47198095326695e-16,6.797947621484113e-17,-7.28583859910259e-17,-4.85722573273506e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-0.13124717795682556,-0.26992077275628323,-0.05542168526297024,-0.2581477638742542,0.39365794054747744,-0.18996333592512724,0.5226228757918032,-0.008684220280125027,-2.8449465006019636e-16,2.3765711620882257e-16,1.6653345369377348e-16,1.6393136847980827e-16,9.71445146547012e-17,-1.734723475976807e-17,-5.724587470723463e-17,-7.632783294297951e-17
5,0.0,1.62718882318057,-0.946172102230329,0.2280558987692313,0.5203234808654291,-0.32482304167132686,-0.45170876430606116,-1.1734823648715267,-0.2766245347679715,-0.2298311788690174,-1.1102230246251565e-16,-4.510281037539698e-16,4.510281037539698e-16,2.8362728832220796e-16,-1.8041124150158794e-16,1.0234868508263162e-16,9.020562075079397e-17,-2.7755575615628914e-17
5,1.0,-1.594238434416213,-0.6799173718014545,-0.011314601747543321,-0.5657961172682708,-0.25395758507522903,-0.01180162331271133,-0.17206137100172925,-0.3739732754626791,-0.3070134639335123,7.979727989493313e-17,3.2959746043559335e-17,9.194034422677078e-17,4.5102810375396984e-17,8.326672684688674e-17,7.979727989493313e-17,2.7755575615628914e-17,-1.474514954580286e-17
