,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9372
balance_train_Cutoff,0.7104
balance_train_Acc,0.9167
balance_train_MCC,0.8371
balance_train_Sen,0.8690
balance_train_Spe,0.9643
balance_train_PPV,0.9605
balance_train_NPV,0.8804
balance_train_Youden Index,0.8333
balance_train_AUC,0.9461
balance_train_95% CIs,[0.9099-0.9824]
balance_train_Std,0.0185
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8845
train_Cutoff,0.7104
train_Acc,0.9213
train_MCC,0.8222
train_Sen,0.8372
train_Spe,0.9643
train_PPV,0.9231
train_NPV,0.9205
train_Youden Index,0.8015
train_AUC,0.9410
train_95% CIs,[0.8964-0.9857]
train_Std,0.0228
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.9079
test_Cutoff,0.6537
test_Acc,0.9455
test_MCC,0.8816
test_Sen,0.9474
test_Spe,0.9444
test_PPV,0.9000
test_NPV,0.9714
test_Youden Index,0.8918
test_AUC,0.9605
test_95% CIs,[0.9112-1.0000]
test_Std,0.0252
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9724
cv_train_Cutoff,0.5197
cv_train_Acc,0.9494
cv_train_MCC,0.8992
cv_train_Sen,0.9643
cv_train_Spe,0.9345
cv_train_PPV,0.9364
cv_train_NPV,0.9632
cv_train_Youden Index,0.8988
cv_train_AUC,0.9797
cv_train_95% CIs,[0.9694-0.9900]
cv_train_Std,0.0053
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7333
cv_val_Cutoff,0.1707
cv_val_Acc,0.8110
cv_val_MCC,0.6443
cv_val_Sen,0.9302
cv_val_Spe,0.7500
cv_val_PPV,0.6557
cv_val_NPV,0.9545
cv_val_Youden Index,0.6802
cv_val_AUC,0.8929
cv_val_95% CIs,[0.8352-0.9506]
cv_val_Std,0.0294
