,Coef
PCA_feature_2,-0.7820796097029354
PCA_feature_10,-0.6736841498391776
PCA_feature_11,-0.8641167336524773
PCA_feature_13,-1.3659140398273109
PCA_feature_14,-1.726463593944858
PCA_feature_16,0.44499601781575165
PCA_feature_20,-1.2543421982814364
PCA_feature_25,0.5553312903514128
PCA_feature_33,-0.8630735992453373
PCA_feature_60,-0.23053609653940801
PCA_feature_129,0.0
PCA_feature_147,0.0
PCA_feature_148,0.0
PCA_feature_150,0.0
PCA_feature_159,0.0
PCA_feature_160,0.0
PCA_feature_161,0.0
PCA_feature_167,0.0
