,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8896
balance_train_Cutoff,0.6106
balance_train_Acc,0.8929
balance_train_MCC,0.7859
balance_train_Sen,0.9048
balance_train_Spe,0.8810
balance_train_PPV,0.8837
balance_train_NPV,0.9024
balance_train_Youden Index,0.7857
balance_train_AUC,0.9063
balance_train_95% CIs,[0.8579-0.9547]
balance_train_Std,0.0247
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7975
train_Cutoff,0.6106
train_Acc,0.8819
train_MCC,0.7463
train_Sen,0.8837
train_Spe,0.8810
train_PPV,0.7917
train_NPV,0.9367
train_Youden Index,0.7647
train_AUC,0.8967
train_95% CIs,[0.8371-0.9564]
train_Std,0.0304
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8482
test_Cutoff,0.4935
test_Acc,0.9091
test_MCC,0.8117
test_Sen,0.9474
test_Spe,0.8889
test_PPV,0.8182
test_NPV,0.9697
test_Youden Index,0.8363
test_AUC,0.9357
test_95% CIs,[0.8716-0.9997]
test_Std,0.0327
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9343
cv_train_Cutoff,0.5442
cv_train_Acc,0.9182
cv_train_MCC,0.8369
cv_train_Sen,0.9375
cv_train_Spe,0.8988
cv_train_PPV,0.9026
cv_train_NPV,0.9350
cv_train_Youden Index,0.8363
cv_train_AUC,0.9496
cv_train_95% CIs,[0.9330-0.9661]
cv_train_Std,0.0084
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7924
cv_val_Cutoff,0.4622
cv_val_Acc,0.8661
cv_val_MCC,0.7120
cv_val_Sen,0.8605
cv_val_Spe,0.8690
cv_val_PPV,0.7708
cv_val_NPV,0.9241
cv_val_Youden Index,0.7295
cv_val_AUC,0.8898
cv_val_95% CIs,[0.8284-0.9512]
cv_val_Std,0.0313
