,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.6950
balance_train_Cutoff,0.5079
balance_train_Acc,0.7381
balance_train_MCC,0.4762
balance_train_Sen,0.7381
balance_train_Spe,0.7381
balance_train_PPV,0.7381
balance_train_NPV,0.7381
balance_train_Youden Index,0.4762
balance_train_AUC,0.7625
balance_train_95% CIs,[0.6884-0.8365]
balance_train_Std,0.0378
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.5299
train_Cutoff,0.5238
train_Acc,0.7480
train_MCC,0.4583
train_Sen,0.6977
train_Spe,0.7738
train_PPV,0.6122
train_NPV,0.8333
train_Youden Index,0.4715
train_AUC,0.7578
train_95% CIs,[0.6710-0.8445]
train_Std,0.0443
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6859
test_Cutoff,0.4637
test_Acc,0.8182
test_MCC,0.6422
test_Sen,0.8947
test_Spe,0.7778
test_PPV,0.6800
test_NPV,0.9333
test_Youden Index,0.6725
test_AUC,0.8713
test_95% CIs,[0.7760-0.9667]
test_Std,0.0486
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7958
cv_train_Cutoff,0.5603
cv_train_Acc,0.7351
cv_train_MCC,0.4743
cv_train_Sen,0.6696
cv_train_Spe,0.8006
cv_train_PPV,0.7705
cv_train_NPV,0.7079
cv_train_Youden Index,0.4702
cv_train_AUC,0.8021
cv_train_95% CIs,[0.7692-0.8350]
cv_train_Std,0.0168
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5843
cv_val_Cutoff,0.4919
cv_val_Acc,0.7087
cv_val_MCC,0.3609
cv_val_Sen,0.6047
cv_val_Spe,0.7619
cv_val_PPV,0.5652
cv_val_NPV,0.7901
cv_val_Youden Index,0.3666
cv_val_AUC,0.7284
cv_val_95% CIs,[0.6387-0.8182]
cv_val_Std,0.0458
