,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.5607
balance_train_Cutoff,0.5617
balance_train_Acc,0.6548
balance_train_MCC,0.3099
balance_train_Sen,0.6310
balance_train_Spe,0.6786
balance_train_PPV,0.6625
balance_train_NPV,0.6477
balance_train_Youden Index,0.3095
balance_train_AUC,0.6355
balance_train_95% CIs,[0.5495-0.7215]
balance_train_Std,0.0439
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.4108
train_Cutoff,0.5617
train_Acc,0.6772
train_MCC,0.3364
train_Sen,0.6744
train_Spe,0.6786
train_PPV,0.5179
train_NPV,0.8028
train_Youden Index,0.3530
train_AUC,0.6520
train_95% CIs,[0.5531-0.7509]
train_Std,0.0504
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5191
test_Cutoff,0.5449
test_Acc,0.7091
test_MCC,0.4581
test_Sen,0.8421
test_Spe,0.6389
test_PPV,0.5517
test_NPV,0.8846
test_Youden Index,0.4810
test_AUC,0.7251
test_95% CIs,[0.5900-0.8603]
test_Std,0.0690
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7685
cv_train_Cutoff,0.5271
cv_train_Acc,0.7247
cv_train_MCC,0.4677
cv_train_Sen,0.8631
cv_train_Spe,0.5863
cv_train_PPV,0.6760
cv_train_NPV,0.8107
cv_train_Youden Index,0.4494
cv_train_AUC,0.7920
cv_train_95% CIs,[0.7583-0.8256]
cv_train_Std,0.0172
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5177
cv_val_Cutoff,0.5623
cv_val_Acc,0.7244
cv_val_MCC,0.3882
cv_val_Sen,0.6047
cv_val_Spe,0.7857
cv_val_PPV,0.5909
cv_val_NPV,0.7952
cv_val_Youden Index,0.3904
cv_val_AUC,0.6849
cv_val_95% CIs,[0.5832-0.7866]
cv_val_Std,0.0519
