,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9941
balance_train_Cutoff,0.6052
balance_train_Acc,0.9643
balance_train_MCC,0.9296
balance_train_Sen,0.9405
balance_train_Spe,0.9881
balance_train_PPV,0.9875
balance_train_NPV,0.9432
balance_train_Youden Index,0.9286
balance_train_AUC,0.9938
balance_train_95% CIs,[0.9871-1.0000]
balance_train_Std,0.0034
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.9829
train_Cutoff,0.5843
train_Acc,0.9606
train_MCC,0.9117
train_Sen,0.9302
train_Spe,0.9762
train_PPV,0.9524
train_NPV,0.9647
train_Youden Index,0.9064
train_AUC,0.9900
train_95% CIs,[0.9787-1.0000]
train_Std,0.0058
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8008
test_Cutoff,0.4976
test_Acc,0.8182
test_MCC,0.6244
test_Sen,0.8421
test_Spe,0.8056
test_PPV,0.6957
test_NPV,0.9062
test_Youden Index,0.6477
test_AUC,0.8582
test_95% CIs,[0.7461-0.9703]
test_Std,0.0572
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9821
cv_train_Cutoff,0.5131
cv_train_Acc,0.9464
cv_train_MCC,0.8941
cv_train_Sen,0.9732
cv_train_Spe,0.9196
cv_train_PPV,0.9237
cv_train_NPV,0.9717
cv_train_Youden Index,0.8929
cv_train_AUC,0.9849
cv_train_95% CIs,[0.9773-0.9924]
cv_train_Std,0.0039
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7253
cv_val_Cutoff,0.4059
cv_val_Acc,0.6929
cv_val_MCC,0.4843
cv_val_Sen,0.9302
cv_val_Spe,0.5714
cv_val_PPV,0.5263
cv_val_NPV,0.9412
cv_val_Youden Index,0.5017
cv_val_AUC,0.8325
cv_val_95% CIs,[0.7612-0.9038]
cv_val_Std,0.0364
