,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8589
balance_train_Cutoff,0.6555
balance_train_Acc,0.8095
balance_train_MCC,0.6219
balance_train_Sen,0.7619
balance_train_Spe,0.8571
balance_train_PPV,0.8421
balance_train_NPV,0.7826
balance_train_Youden Index,0.6190
balance_train_AUC,0.8678
balance_train_95% CIs,[0.8138-0.9217]
balance_train_Std,0.0275
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.6973
train_Cutoff,0.6555
train_Acc,0.7874
train_MCC,0.5179
train_Sen,0.6512
train_Spe,0.8571
train_PPV,0.7000
train_NPV,0.8276
train_Youden Index,0.5083
train_AUC,0.8140
train_95% CIs,[0.7360-0.8920]
train_Std,0.0398
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7758
test_Cutoff,0.3163
test_Acc,0.8182
test_MCC,0.5858
test_Sen,0.5789
test_Spe,0.9444
test_PPV,0.8462
test_NPV,0.8095
test_Youden Index,0.5234
test_AUC,0.7953
test_95% CIs,[0.6544-0.9362]
test_Std,0.0719
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.8931
cv_train_Cutoff,0.6295
cv_train_Acc,0.8348
cv_train_MCC,0.6712
cv_train_Sen,0.8006
cv_train_Spe,0.8690
cv_train_PPV,0.8594
cv_train_NPV,0.8134
cv_train_Youden Index,0.6696
cv_train_AUC,0.8991
cv_train_95% CIs,[0.8754-0.9228]
cv_train_Std,0.0121
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5545
cv_val_Cutoff,0.0002
cv_val_Acc,0.6378
cv_val_MCC,0.3338
cv_val_Sen,0.7907
cv_val_Spe,0.5595
cv_val_PPV,0.4789
cv_val_NPV,0.8393
cv_val_Youden Index,0.3502
cv_val_AUC,0.7032
cv_val_95% CIs,[0.6048-0.8016]
cv_val_Std,0.0502
