,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8881
balance_train_Cutoff,0.6534
balance_train_Acc,0.8690
balance_train_MCC,0.7389
balance_train_Sen,0.8452
balance_train_Spe,0.8929
balance_train_PPV,0.8875
balance_train_NPV,0.8523
balance_train_Youden Index,0.7381
balance_train_AUC,0.9007
balance_train_95% CIs,[0.8500-0.9513]
balance_train_Std,0.0258
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8183
train_Cutoff,0.6534
train_Acc,0.8740
train_MCC,0.7223
train_Sen,0.8372
train_Spe,0.8929
train_PPV,0.8000
train_NPV,0.9146
train_Youden Index,0.7301
train_AUC,0.9034
train_95% CIs,[0.8428-0.9639]
train_Std,0.0309
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8393
test_Cutoff,0.4646
test_Acc,0.8545
test_MCC,0.7398
test_Sen,1.0000
test_Spe,0.7778
test_PPV,0.7037
test_NPV,1.0000
test_Youden Index,0.7778
test_AUC,0.9167
test_95% CIs,[0.8465-0.9868]
test_Std,0.0358
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9157
cv_train_Cutoff,0.6226
cv_train_Acc,0.8616
cv_train_MCC,0.7235
cv_train_Sen,0.8482
cv_train_Spe,0.8750
cv_train_PPV,0.8716
cv_train_NPV,0.8522
cv_train_Youden Index,0.7232
cv_train_AUC,0.9148
cv_train_95% CIs,[0.8927-0.9368]
cv_train_Std,0.0112
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7648
cv_val_Cutoff,0.4460
cv_val_Acc,0.8031
cv_val_MCC,0.5747
cv_val_Sen,0.7674
cv_val_Spe,0.8214
cv_val_PPV,0.6875
cv_val_NPV,0.8734
cv_val_Youden Index,0.5889
cv_val_AUC,0.8015
cv_val_95% CIs,[0.7055-0.8975]
cv_val_Std,0.0490
