,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9118
balance_train_Cutoff,0.5819
balance_train_Acc,0.8810
balance_train_MCC,0.7639
balance_train_Sen,0.9167
balance_train_Spe,0.8452
balance_train_PPV,0.8556
balance_train_NPV,0.9103
balance_train_Youden Index,0.7619
balance_train_AUC,0.9335
balance_train_95% CIs,[0.8955-0.9716]
balance_train_Std,0.0194
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8501
train_Cutoff,0.5819
train_Acc,0.8661
train_MCC,0.7239
train_Sen,0.9070
train_Spe,0.8452
train_PPV,0.7500
train_NPV,0.9467
train_Youden Index,0.7522
train_AUC,0.9363
train_95% CIs,[0.8964-0.9762]
train_Std,0.0204
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.4065
test_Cutoff,2.0000
test_Acc,0.6545
test_MCC,0.0000
test_Sen,0.0000
test_Spe,1.0000
test_PPV,0.0000
test_NPV,0.6545
test_Youden Index,0.0000
test_AUC,0.4218
test_95% CIs,[0.2863-0.5573]
test_Std,0.0691
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9435
cv_train_Cutoff,0.6487
cv_train_Acc,0.9092
cv_train_MCC,0.8187
cv_train_Sen,0.8958
cv_train_Spe,0.9226
cv_train_PPV,0.9205
cv_train_NPV,0.8986
cv_train_Youden Index,0.8185
cv_train_AUC,0.9528
cv_train_95% CIs,[0.9370-0.9686]
cv_train_Std,0.0081
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4898
cv_val_Cutoff,2.0000
cv_val_Acc,0.6614
cv_val_MCC,0.0000
cv_val_Sen,0.0000
cv_val_Spe,1.0000
cv_val_PPV,0.0000
cv_val_NPV,0.6614
cv_val_Youden Index,0.0000
cv_val_AUC,0.4945
cv_val_95% CIs,[0.4019-0.5871]
cv_val_Std,0.0472
