,F,P
PCA_feature_1,0.026802055417461706,0.870155973976968
PCA_feature_2,16.492021314924024,7.515673452550982e-05
PCA_feature_3,46.805787681030864,1.4377602959305585e-10
PCA_feature_4,0.9261490032856413,0.3372653675355801
PCA_feature_5,4.651648346785829,0.03246256081346572
PCA_feature_6,0.1529519463697271,0.6962316889949194
PCA_feature_7,0.736786486117426,0.39192992553076156
PCA_feature_8,0.31684702174835344,0.5742681067165607
PCA_feature_9,0.12133064501456375,0.7280371036040798
PCA_feature_10,15.384311310405767,0.00012815671681687578
PCA_feature_11,15.333372537312181,0.0001313569229659348
PCA_feature_12,0.19970137890291953,0.6555444741040555
PCA_feature_13,1.8867619967307314,0.1714197768752115
PCA_feature_14,3.696367436623884,0.05624321860500372
PCA_feature_15,5.033035277058563,0.026190938879497135
PCA_feature_16,0.8632185785711345,0.354188613055175
PCA_feature_17,1.5965804588952057,0.20816013140590556
PCA_feature_18,0.5470275308049883,0.46057944202702505
PCA_feature_19,4.057337424086392,0.0455944416249094
PCA_feature_20,0.2302856704579336,0.6319437816575759
PCA_feature_21,0.561816315661695,0.45459025441722223
PCA_feature_22,5.362304185001003,0.021799891417842217
PCA_feature_23,4.14736166314559,0.04328836754447477
PCA_feature_24,0.003028381552477948,0.9561801559704959
PCA_feature_25,1.2504729694435812e-06,0.999109112082476
PCA_feature_26,0.03396147806637099,0.8540137158540353
PCA_feature_27,7.224016873664523,0.007926285203742167
PCA_feature_28,0.08348469922307485,0.7729899552806753
PCA_feature_29,2.6456134709875943,0.10573287269415442
PCA_feature_30,2.394481161490688,0.12366848509667745
PCA_feature_31,0.006045457483221682,0.9381185394570709
PCA_feature_32,0.05815690059168583,0.8097307238140034
PCA_feature_33,0.4398966427914842,0.5080923238917475
PCA_feature_34,0.0053927294275962845,0.9415482149608582
PCA_feature_35,1.7398056923418608,0.1889800803521824
PCA_feature_36,0.004361063618653636,0.9474267593518608
PCA_feature_37,3.2383621581747115,0.07374868644147206
PCA_feature_38,1.6725185501646647,0.19771835455477083
PCA_feature_39,0.05375905147899796,0.8169323436334757
PCA_feature_40,0.40416753419292817,0.525820252008629
PCA_feature_41,0.00013777084399299808,0.9906490736849849
PCA_feature_42,2.2653216258709863,0.1341991131054492
PCA_feature_43,0.3877402239982398,0.5343441004189657
PCA_feature_44,0.04917242936392601,0.82478217498276
PCA_feature_45,0.08913525610856896,0.7656527868097689
PCA_feature_46,1.1662140235295684,0.28174704925441785
PCA_feature_47,0.46573087171047384,0.4959089538110565
PCA_feature_48,0.05557250197382748,0.8139264099971417
PCA_feature_49,0.018993120338582265,0.890553235885073
PCA_feature_50,0.004360258872268336,0.9474316031526442
PCA_feature_51,0.7431289259217129,0.3899040065263819
PCA_feature_52,0.6384765694361367,0.42540479169819345
PCA_feature_53,0.0533517353259884,0.8176148226081722
PCA_feature_54,3.507588324252822,0.06284661224075118
PCA_feature_55,0.15829169904042661,0.6912453799988116
PCA_feature_56,0.8117679268218007,0.368903378099671
