,Coef
PCA_feature_2,-0.09467105227816636
PCA_feature_3,0.10532496469075614
PCA_feature_10,-0.1556386510875889
PCA_feature_11,0.25317869946877214
PCA_feature_27,0.2808958495675284
PCA_feature_127,3.2266145544748306e-14
PCA_feature_129,5.470595645941623e-15
PCA_feature_131,-1.0847792933693899e-14
PCA_feature_132,-3.123380468715371e-15
PCA_feature_133,2.5618936112392583e-14
PCA_feature_136,1.5674174682384464e-15
PCA_feature_138,-1.6591215992272534e-14
PCA_feature_139,-1.0009810402033635e-14
PCA_feature_140,4.888699419415941e-15
PCA_feature_154,4.541311556811581e-15
PCA_feature_167,-6.619058728013629e-15
