,Coef
PCA_feature_2,-0.04738020279696416
PCA_feature_3,0.11755653401293725
PCA_feature_10,-0.2596227887902991
PCA_feature_11,0.35608043875949297
PCA_feature_27,0.45633578453805423
PCA_feature_59,-1.2258282638326221
PCA_feature_127,406734581029318.1
PCA_feature_129,278566648912703.16
PCA_feature_131,-492256944996768.8
PCA_feature_132,472827800757887.4
PCA_feature_133,328572127843847.6
PCA_feature_136,6398749597727.116
PCA_feature_138,-350588397880320.94
PCA_feature_139,-14500999549503.096
PCA_feature_140,-157876351245891.3
PCA_feature_154,-298721110852742.5
PCA_feature_167,168959702384647.56
