,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.9274
balance_train_Cutoff,0.5651
balance_train_Acc,0.9286
balance_train_MCC,0.8581
balance_train_Sen,0.9524
balance_train_Spe,0.9048
balance_train_PPV,0.9091
balance_train_NPV,0.9500
balance_train_Youden Index,0.8571
balance_train_AUC,0.9371
balance_train_95% CIs,[0.8958-0.9783]
balance_train_Std,0.0210
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8822
train_Cutoff,0.5651
train_Acc,0.9134
train_MCC,0.8149
train_Sen,0.9302
train_Spe,0.9048
train_PPV,0.8333
train_NPV,0.9620
train_Youden Index,0.8350
train_AUC,0.9374
train_95% CIs,[0.8889-0.9859]
train_Std,0.0247
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7783
test_Cutoff,0.7133
test_Acc,0.8909
test_MCC,0.7588
test_Sen,0.8421
test_Spe,0.9167
test_PPV,0.8421
test_NPV,0.9167
test_Youden Index,0.7588
test_AUC,0.9269
test_95% CIs,[0.8545-0.9993]
test_Std,0.0369
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9502
cv_train_Cutoff,0.4499
cv_train_Acc,0.9137
cv_train_MCC,0.8281
cv_train_Sen,0.9345
cv_train_Spe,0.8929
cv_train_PPV,0.8971
cv_train_NPV,0.9317
cv_train_Youden Index,0.8274
cv_train_AUC,0.9583
cv_train_95% CIs,[0.9438-0.9727]
cv_train_Std,0.0074
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7917
cv_val_Cutoff,0.5893
cv_val_Acc,0.8504
cv_val_MCC,0.6611
cv_val_Sen,0.7442
cv_val_Spe,0.9048
cv_val_PPV,0.8000
cv_val_NPV,0.8736
cv_val_Youden Index,0.6489
cv_val_AUC,0.8275
cv_val_95% CIs,[0.7373-0.9178]
cv_val_Std,0.0461
