,Coef
PCA_feature_2,-0.09652926145014491
PCA_feature_3,0.14092887051485045
PCA_feature_10,-0.25094665521394627
PCA_feature_11,0.23161883570194158
PCA_feature_22,0.21764772049050884
PCA_feature_27,0.19438769258146926
PCA_feature_59,-0.12343613079516079
PCA_feature_127,2.307382178888258e-16
PCA_feature_129,1.2629892702793922e-16
PCA_feature_130,-8.409846990230727e-17
PCA_feature_131,-1.622783387191558e-16
PCA_feature_132,2.148949589116648e-16
PCA_feature_133,4.558155986442493e-17
PCA_feature_136,-5.143441150359411e-17
PCA_feature_138,-1.1292714352158497e-16
PCA_feature_139,-3.466237623061021e-17
PCA_feature_140,3.3896783770842746e-17
PCA_feature_154,3.5741445698163423e-17
PCA_feature_167,-1.5549477833437704e-18
