,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8987
balance_train_Cutoff,0.6348
balance_train_Acc,0.8631
balance_train_MCC,0.7275
balance_train_Sen,0.8929
balance_train_Spe,0.8333
balance_train_PPV,0.8427
balance_train_NPV,0.8861
balance_train_Youden Index,0.7262
balance_train_AUC,0.9058
balance_train_95% CIs,[0.8568-0.9547]
balance_train_Std,0.0250
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8339
train_Cutoff,0.6348
train_Acc,0.8504
train_MCC,0.6901
train_Sen,0.8837
train_Spe,0.8333
train_PPV,0.7308
train_NPV,0.9333
train_Youden Index,0.7171
train_AUC,0.9056
train_95% CIs,[0.8468-0.9644]
train_Std,0.0300
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7973
test_Cutoff,0.6507
test_Acc,0.9091
test_MCC,0.8117
test_Sen,0.9474
test_Spe,0.8889
test_PPV,0.8182
test_NPV,0.9697
test_Youden Index,0.8363
test_AUC,0.9357
test_95% CIs,[0.8602-1.0000]
test_Std,0.0385
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.7435
cv_train_Cutoff,0.5614
cv_train_Acc,0.7991
cv_train_MCC,0.6052
cv_train_Sen,0.8750
cv_train_Spe,0.7232
cv_train_PPV,0.7597
cv_train_NPV,0.8526
cv_train_Youden Index,0.5982
cv_train_AUC,0.8284
cv_train_95% CIs,[0.7959-0.8608]
cv_train_Std,0.0166
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.4826
cv_val_Cutoff,0.3743
cv_val_Acc,0.6457
cv_val_MCC,0.3445
cv_val_Sen,0.7907
cv_val_Spe,0.5714
cv_val_PPV,0.4857
cv_val_NPV,0.8421
cv_val_Youden Index,0.3621
cv_val_AUC,0.6769
cv_val_95% CIs,[0.5747-0.7791]
cv_val_Std,0.0522
