,Coef
PCA_feature_2,-0.10912679871760692
PCA_feature_3,0.17944769609222447
PCA_feature_10,-0.2904530458124977
PCA_feature_11,0.23233574566801057
PCA_feature_15,-0.3810562045195068
PCA_feature_22,0.4591903903777169
PCA_feature_27,0.506421858061313
PCA_feature_59,-0.9127781274458677
PCA_feature_127,0.0
PCA_feature_129,0.0
PCA_feature_130,0.0
PCA_feature_131,0.0
PCA_feature_132,0.0
PCA_feature_133,0.0
PCA_feature_136,0.0
PCA_feature_138,0.0
PCA_feature_139,0.0
PCA_feature_140,0.0
PCA_feature_154,0.0
PCA_feature_167,0.0
