,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,0.7400
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,0.7400
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.9009
test_Cutoff,0.5100
test_Acc,0.8909
test_MCC,0.7552
test_Sen,0.7895
test_Spe,0.9444
test_PPV,0.8824
test_NPV,0.8947
test_Youden Index,0.7339
test_AUC,0.9291
test_95% CIs,[0.8586-0.9996]
test_Std,0.0360
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,0.6650
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.8187
cv_val_Cutoff,0.3550
cv_val_Acc,0.8346
cv_val_MCC,0.6330
cv_val_Sen,0.7674
cv_val_Spe,0.8690
cv_val_PPV,0.7500
cv_val_NPV,0.8795
cv_val_Youden Index,0.6365
cv_val_AUC,0.8934
cv_val_95% CIs,[0.8369-0.9500]
cv_val_Std,0.0289
