,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8871
balance_train_Cutoff,0.5357
balance_train_Acc,0.8274
balance_train_MCC,0.6627
balance_train_Sen,0.9048
balance_train_Spe,0.7500
balance_train_PPV,0.7835
balance_train_NPV,0.8873
balance_train_Youden Index,0.6548
balance_train_AUC,0.8965
balance_train_95% CIs,[0.8506-0.9425]
balance_train_Std,0.0235
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.7947
train_Cutoff,0.5357
train_Acc,0.7874
train_MCC,0.5800
train_Sen,0.8605
train_Spe,0.7500
train_PPV,0.6379
train_NPV,0.9130
train_Youden Index,0.6105
train_AUC,0.8837
train_95% CIs,[0.8276-0.9398]
train_Std,0.0286
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.5229
test_Cutoff,0.2864
test_Acc,0.6727
test_MCC,0.5067
test_Sen,1.0000
test_Spe,0.5000
test_PPV,0.5135
test_NPV,1.0000
test_Youden Index,0.5000
test_AUC,0.7471
test_95% CIs,[0.6194-0.8748]
test_Std,0.0652
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9962
cv_train_Cutoff,0.5395
cv_train_Acc,0.9747
cv_train_MCC,0.9495
cv_train_Sen,0.9821
cv_train_Spe,0.9673
cv_train_PPV,0.9677
cv_train_NPV,0.9819
cv_train_Youden Index,0.9494
cv_train_AUC,0.9965
cv_train_95% CIs,[0.9936-0.9995]
cv_train_Std,0.0015
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.6519
cv_val_Cutoff,0.5000
cv_val_Acc,0.7717
cv_val_MCC,0.4931
cv_val_Sen,0.6744
cv_val_Spe,0.8214
cv_val_PPV,0.6591
cv_val_NPV,0.8313
cv_val_Youden Index,0.4958
cv_val_AUC,0.8079
cv_val_95% CIs,[0.7325-0.8832]
cv_val_Std,0.0385
